CODIGO|DESCRIPCION|TIPO
I13.0|Enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada.|D
I13.10|Enfermedad cardiaca y renal cronica hipertensiva sin insuficiencia cardiaca, con enfermedad renal cronica en estadio 1 a 4 o enfermedad renal cronica no especificada.|D
I13.11|Enfermedad cardiaca y renal cronica hipertensiva sin insuficiencia cardiaca con enfermedad renal cronica en estadio 5 o con enfermedad renal en estadio terminal|D
I13.2|Enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y con enfermedad renal cronica en estadio 5 o con enfermedad renal en estadio terminal|D
I15.0|Hipertension renovascular|D
I15.1|Hipertension secundaria a otros trastornos renales|D
I15.2|Hipertension secundaria a trastornos endocrinos|D
I15.8|Otra hipertension secundaria|D
I15.9|Hipertension secundaria, no especificada|D
I20.0|Angina inestable|D
I20.1|Angina de pecho con espasmo documentado|D
I20.8|Otras formas de angina de pecho|D
I20.9|Angina de pecho, no especificada|D
I21.01|Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de tronco coronario|D
I21.02|Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de arteria coronaria descendente anterior|D
I21.09|Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de otra arteria coronaria de la cara anterior|D
I21.11|Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de arteria coronaria derecha|D
I21.19|Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de otra arteria coronaria de cara inferior|D
I21.21|Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de la arteria coronaria circunfleja|D
I21.29|Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) de otra localizacion|D
I21.3|Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) de localizacion no especificada|D
I21.4|Infarto agudo de miocardio sin elevacion de ST (IAMSEST) (IMNEST) (NSTEMI)|D
I22.0|Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) (IMEST) (STEMI) de pared anterior|D
I22.1|Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) (IMEST) (STEMI) de cara inferior|D
I22.2|Infarto agudo de miocardio subsiguiente sin elevacion de ST (IMSEST) (IMNEST) (NSTEMI)|D
I22.8|Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) (IMEST) (STEMI) de otras localizaciones|D
I22.9|Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) (IMEST) (STEMI) de localizacion no especificada|D
I23.0|Hemopericardio como complicacion actual tras infarto agudo de miocardio|D
I23.1|Defecto de tabique auricular como complicacion actual tras infarto agudo de miocardio|D
I23.2|Defecto de tabique ventricular como complicacion actual tras infarto agudo de miocardio|D
I23.3|Rotura de pared cardiaca sin hemopericardio como complicacion actual tras infarto agudo de miocardio|D
I23.4|Rotura de cuerdas tendinosas como complicacion actual tras infarto agudo de miocardio|D
I23.5|Rotura de musculo papilar como complicacion actual tras infarto agudo de miocardio|D
I23.6|Trombosis de auricula, orejuela y ventriculo como complicacion actual tras infarto agudo de miocardio|D
I23.7|Angina posinfarto|D
I23.8|Otras complicaciones actuales tras infarto agudo de miocardio|D
I24.0|Trombosis coronaria aguda que no produce infarto de miocardio|D
I24.1|Sindrome de Dressler|D
I24.8|Otras formas de enfermedad isquemica aguda cardiaca|D
I24.9|Enfermedad isquemica aguda cardiaca no especificada|D
I25.10|Enfermedad cardiaca aterosclerotica de arteria coronaria nativa sin angina de pecho|D
I25.110|Enfermedad cardiaca aterosclerotica de arteria coronaria nativa con angina de pecho inestable|D
I25.111|Enfermedad cardiaca aterosclerotica de arteria coronaria nativa con angina de pecho con espasmo documentado|D
I25.118|Enfermedad cardiaca aterosclerotica de arteria coronaria nativa con otras formas de angina de pecho|D
I25.119|Enfermedad cardiaca aterosclerotica de arteria coronaria nativa con angina de pecho no especificada|D
I25.2|Infarto de miocardio antiguo|D
I25.3|Aneurisma de corazon|D
I25.41|Aneurisma de arteria coronaria|D
I25.42|Diseccion de arteria coronaria|D
I25.5|Miocardiopatia isquemica|D
I25.6|Isquemia silente miocardica|D
I25.700|Aterosclerosis de injerto(s) de derivacion de arteria coronaria, no especificado, con angina de pecho inestable|D
I25.701|Aterosclerosis de injerto(s) de derivacion de arteria coronaria, no especificado, con angina de pecho con espasmo documentado|D
I25.708|Aterosclerosis de injerto(s) de derivacion de arteria coronaria, no especificado, con otras formas de angina de pecho|D
I25.709|Aterosclerosis de injerto(s) de derivacion de arteria coronaria, no especificado, con angina de pecho no especificada|D
I25.710|Aterosclerosis de injerto(s) venoso autologo de derivacion de arteria coronaria con angina de pecho inestable|D
I25.711|Aterosclerosis de injerto(s) venoso autologo de derivacion de arteria coronaria con angina de pecho con espasmo documentado|D
I25.718|Aterosclerosis de injerto(s) venoso autologo de derivacion de arteria coronaria con otras formas de angina de pecho|D
I25.719|Aterosclerosis de injerto(s) venoso autologo de derivacion de arteria coronaria, con angina de pecho no especificada|D
I25.720|Ateroesclerosis de injerto(s) arterial autologo de derivacion de arteria coronaria, con angina de pecho inestable|D
I25.721|Ateroesclerosis de injerto(s) arterial autologo de derivacion de arteria coronaria, con angina de pecho con espasmo documentado|D
I25.728|Ateroesclerosis de injerto(s) arterial autologo de derivacion de arteria coronaria con otras formas de angina de pecho|D
I25.729|Ateroesclerosis de injerto(s) arterial autologo de derivacion de arteria coronaria con angina de pecho no especificada|D
I25.730|Aterosclerosis de injerto(s) biologico no autologo de derivacion de arteria coronaria con angina de pecho inestable|D
I25.731|Aterosclerosis de injerto(s) biologico no autologo de derivacion de arteria coronaria con angina de pecho con espasmo documentado|D
I25.738|Aterosclerosis de injerto(s) biologico no autologo de derivacion de arteria coronaria con otras formas de angina de pecho|D
I25.739|Aterosclerosis de injerto(s) biologico no autologo de derivacion de arteria coronaria con angina de pecho no especificada|D
I25.750|Aterosclerosis de arteria coronaria nativa de corazon trasplantado con angina inestable|D
I25.751|Aterosclerosis de arteria coronaria nativa de corazon trasplantado con angina de pecho con espasmo documentado|D
I25.758|Aterosclerosis de arteria coronaria nativa de corazon trasplantado con otras formas de angina de pecho|D
I25.759|Aterosclerosis de arteria coronaria nativa de corazon trasplantado con angina de pecho no especificada|D
I25.760|Aterosclerosis de injerto(s) de derivacion de arteria coronaria de corazon trasplantado con angina inestable|D
I25.761|Aterosclerosis de injerto(s) de derivacion de arteria coronaria de corazon trasplantado con angina de pecho con espasmo documentado|D
I25.768|Aterosclerosis de injerto(s) de derivacion de arteria coronaria de corazon trasplantado con otras formas de angina de pecho|D
I25.769|Aterosclerosis de injerto(s) de derivacion de arteria coronaria de corazon trasplantado con angina de pecho no especificada|D
I25.790|Aterosclerosis de otro tipo de injerto(s) de derivacion de arteria coronaria con angina de pecho inestable|D
I25.791|Aterosclerosis de otro tipo de injerto(s) de derivacion de arteria coronaria con angina de pecho con espasmo documentado|D
I25.798|Aterosclerosis de otro tipo de injerto(s) de derivacion de arteria coronaria con otras formas de angina de pecho|D
I25.799|Aterosclerosis de otro tipo de injerto(s) de derivacion de arteria coronaria con angina de pecho no especificada|D
I25.810|Aterosclerosis de injerto(s) de derivacion de arteria coronaria sin angina de pecho|D
I25.811|Aterosclerosis de arteria coronaria nativa de corazon trasplantado sin angina de pecho|D
I25.812|Aterosclerosis de injerto de derivacion de arteria coronaria de corazon trasplantado sin angina de pecho|D
I25.82|Oclusion total cronica de arteria coronaria|D
I25.83|Aterosclerosis coronaria debida a placa rica en lipidos|D
I25.84|Aterosclerosis coronaria debida a lesion coronaria calcificada|D
I25.89|Otras formas de enfermedad isquemica cronica cardiaca|D
I25.9|Enfermedad isquemica cronica cardiaca, no especificada|D
I26.01|Embolia pulmonar septica con cor pulmonale agudo|D
I26.02|Embolo en silla de montar de arteria pulmonar con cor pulmonale agudo|D
I26.09|Otra embolia pulmonar con cor pulmonale agudo|D
I26.90|Embolia pulmonar septica sin cor pulmonale agudo|D
I26.92|Embolo en silla de montar de arteria pulmonar sin cor pulmonale agudo|D
I26.99|Otra embolia pulmonar sin cor pulmonale agudo|D
I27.0|Hipertension pulmonar primaria|D
I27.1|Cardiopatia cifoscoliotica|D
I27.2|Otra hipertension pulmonar secundaria|D
I27.81|Cor pulmonale (cronico)|D
I27.82|Embolia pulmonar cronica|D
I27.89|Otras enfermedades pulmonares cardiacas especificadas|D
I27.9|Enfermedad pulmonar cardiaca, no especificada|D
I28.0|Fistula arteriovenosa de los vasos pulmonares|D
I28.1|Aneurisma de arteria pulmonar|D
I28.8|Otras enfermedades de vasos pulmonares|D
I28.9|Enfermedad de los vasos pulmonares, no especificada|D
I30.0|Pericarditis aguda idiopatica inespecifica|D
I30.1|Pericarditis infecciosa|D
I30.8|Otras formas de pericarditis aguda|D
I30.9|Pericarditis aguda, no especificada|D
I31.0|Pericarditis cronica adhesiva|D
I31.1|Pericarditis constrictiva cronica|D
I31.2|Hemopericardio, no clasificado bajo otro concepto|D
I31.3|Derrame pericardico (no inflamatorio)|D
I31.4|Taponamiento cardiaco|D
I31.8|Otras enfermedades especificadas del pericardio|D
I31.9|Enfermedades del pericardio, no especificadas|D
I32|Pericarditis en enfermedades clasificadas bajo otro concepto|D
I33.0|Endocarditis infecciosa aguda y subaguda|D
I33.9|Endocarditis aguda y subaguda, no especificada|D
I34.0|Insuficiencia (de la valvula) mitral no reumatica|D
I34.1|Prolapso (de la valvula) mitral no reumatico|D
I34.2|Estenosis (de la valvula) mitral no reumatica|D
I34.8|Otros trastornos de valvula mitral no reumaticos|D
I34.9|Trastorno de valvula mitral no reumatico, no especificado|D
I35.0|Estenosis (de la valvula) aortica no reumatica|D
I35.1|Insuficiencia (de la valvula) aortica no reumatica|D
I35.2|Estenosis con insuficiencia (de la valvula) aortica no reumatica|D
I35.8|Otros trastornos de valvula aortica no reumaticos|D
I35.9|Trastorno de valvula aortica no reumatica, no especificado|D
I36.0|Estenosis (de la valvula) tricuspidea no reumatica|D
I36.1|Insuficiencia (de la valvula) tricuspidea no reumatica|D
I36.2|Estenosis con insuficiencia (de la vavula) tricuspidea no reumatica|D
I36.8|Otros trastornos de valvula tricuspide no reumaticos|D
I36.9|Trastorno de valvula tricuspide no reumatico, no especificado|D
I37.0|Estenosis de valvula pulmonar no reumatica|D
I37.1|Insuficiencia de valvula pulmonar no reumatica|D
I37.2|Estenosis con insuficiencia de valvula pulmonar no reumatica|D
I37.8|Otros trastornos de valvula pulmonar no reumaticos|D
I37.9|Trastorno de valvula pulmonar no reumatico, no especificado|D
I38|Endocarditis, valvula no especificada|D
I39|Endocarditis y trastornos de las valvulas cardiacas en enfermedades clasificadas bajo otro concepto|D
I40.0|Miocarditis infecciosa|D
I40.1|Miocarditis aislada|D
I40.8|Otras miocarditis agudas|D
I40.9|Miocarditis aguda, no especificada|D
I41|Miocarditis en enfermedades clasificadas bajo otro concepto|D
I42.0|Miocardiopatia dilatada|D
I42.1|Miocardiopatia hipertrofica obstructiva|D
I42.2|Otras Miocardiopatias hipertroficas|D
I42.3|Enfermedad endomiocardica (eosinofilica)|D
I42.4|Fibroelastosis endocardica|D
I42.5|Otras miocardiopatias restrictivas|D
I42.6|Miocardiopatia alcoholica|D
I42.7|Miocardiopatia debida a drogas y otros agentes externos|D
I42.8|Otras miocardiopatias|D
I42.9|Miocardiopatia, no especificada|D
I43|Miocardiopatia en enfermedades clasificadas bajo otro concepto|D
I44.0|Bloqueo auriculoventricular, primer grado|D
I44.1|Bloqueo auriculoventricular, segundo grado|D
I44.2|Bloqueo auriculoventricular, completo|D
I44.30|Bloqueo auriculoventricular no especificado|D
I44.39|Otros tipos de bloqueo auriculoventricular|D
I44.4|Bloqueo fascicular anterior izquierdo|D
I44.5|Bloqueo fascicular posterior izquierdo|D
I44.60|Bloqueo fascicular no especificado|D
I44.69|Otros tipos de bloqueo fascicular|D
I44.7|Bloqueo de rama izquierda, no especificado|D
I45.0|Bloqueo fascicular derecho|D
I45.10|Bloqueo de rama derecha no especificado|D
I45.19|Otro bloqueo de rama derecha|D
I45.2|Bloqueo bifascicular|D
I45.3|Bloqueo trifascicular|D
I45.4|Bloqueo intraventricular inespecifico|D
I45.5|Otro bloqueo cardiaco especificado|D
I45.6|Sindrome de preexcitacion|D
I45.81|Sindrome de QT largo|D
I45.89|Otros trastornos de conduccion especificados|D
I45.9|Trastorno de conduccion, no especificado|D
I46.2|Paro cardiaco debido a enfermedad cardiaca subyacente|D
I46.8|Parada cardiaca debida a otra afeccion subyacente|D
I46.9|Paro cardiaco, causa no especificada|D
I47.0|Arritmia ventricular de reentrada|D
I47.1|Taquicardia supraventricular|D
I47.2|Taquicardia ventricular|D
I47.9|Taquicardia paroxistica, no especificada|D
I48.0|Fibrilacion paroxistica auricular|D
I48.1|Fibrilacion persistente auricular|D
I48.2|Fibrilacion cronica auricular|D
I48.3|Flutter auricular tipico|D
I48.4|Flutter auricular atipico|D
I48.91|Fibrilacion auricular no especificada|D
I48.92|Flutter auricular no especificado|D
I49.01|Fibrilacion ventricular|D
I49.02|Flutter ventricular|D
I49.1|Extrasistoles auricurales|D
I49.2|Extrasistoles nodales|D
I49.3|Extrasistoles ventriculares|D
I49.40|Despolarizacion prematura no especificada|D
I49.49|Otros tipos de despolarizacion prematura|D
I49.5|Sindrome del seno enfermo|D
I49.8|Otras arritmias cardiacas especificadas|D
I49.9|Arritmia cardiaca, no especificada|D
I50.1|Insuficiencia ventricular izquierda|D
I50.20|Insuficiencia cardiaca sistolica (congestiva), no especificada|D
I50.21|Insuficiencia cardiaca sistolica (congestiva), aguda|D
I50.22|Insuficiencia cardiaca sistolica (congestiva), cronica|D
I50.23|Insuficiencia cardiaca sistolica (congestiva), aguda sobre cronica|D
I50.30|Insuficiencia cardiaca diastolica (congestiva), no especificada|D
I50.31|Insuficiencia cardiaca diastolica (congestiva), aguda|D
I50.32|Insuficiencia cardiaca diastolica (congestiva), cronica|D
I50.33|Insuficiencia cardiaca diastolica (congestiva), aguda sobre cronica|D
I50.40|Insuficiencia cardiaca combinada sistolica y diastolica (congestiva), no especificada|D
I50.41|Insuficiencia cardiaca combinada sistolica y diastolica (congestiva), aguda|D
I50.42|Insuficiencia cardiaca combinada sistolica y diastolica (congestiva), cronica|D
I50.43|Insuficiencia cardiaca combinada sistolica y diastolica (congestiva), aguda sobre cronica|D
I50.9|Insuficiencia cardiaca, no especificada|D
I51.0|Defecto del tabique cardiaco, adquirido|D
I51.1|Rotura de cuerdas tendinosas, no clasificada bajo otro concepto|D
I51.2|Rotura de musculo papilar, no clasificada bajo otro concepto|D
I51.3|Trombosis intracardiaca, no clasificada bajo otro concepto|D
I51.4|Miocarditis, no especificada|D
I51.5|Degeneracion miocardica|D
I51.7|Cardiomegalia|D
I51.81|Sindrome takotsubo|D
I51.89|Otras enfermedades mal definidas cardiacas|D
I51.9|Enfermedad cardiaca, no especificada|D
I52|Otros trastornos cardiacos en enfermedades clasificadas bajo otro concepto|D
I60.00|Hemorragia subaracnoidea no traumatica de sifon y bifurcacion carotideos no especificados|D
I60.01|Hemorragia subaracnoidea no traumatica de sifon y bifurcacion carotideos derechos|D
I60.02|Hemorragia subaracnoidea no traumatica de sifon y bifurcacion carotideos izquierdos|D
I60.10|Hemorragia subaracnoidea no traumatica de arteria cerebral media no especificada|D
I60.11|Hemorragia subaracnoidea no traumatica de arteria cerebral media derecha|D
I60.12|Hemorragia subaracnoidea no traumatica de arteria cerebral media izquierda|D
I60.20|Hemorragia subaracnoidea no traumatica de arteria comunicante anterior no especificada|D
I60.21|Hemorragia subaracnoidea no traumatica de arteria comunicante anterior derecha|D
I60.22|Hemorragia subaracnoidea no traumatica de arteria comunicante anterior izquierda|D
I60.30|Hemorragia subaracnoidea no traumatica de arteria comunicante posterior no especificada|D
I60.31|Hemorragia subaracnoidea no traumatica de arteria comunicante posterior derecha|D
I60.32|Hemorragia subaracnoidea no traumatica de arteria comunicante posterior izquierda|D
I60.4|Hemorragia subaracnoidea no traumatica de arteria basilar|D
I60.50|Hemorragia subaracnoidea no traumatica de arteria vertebral no especificada|D
I60.51|Hemorragia subaracnoidea no traumatica de arteria vertebral derecha|D
I60.52|Hemorragia subaracnoidea no traumatica de arteria vertebral izquierda|D
I60.6|Hemorragia subaracnoidea no traumatica de otras arterias intracraneales|D
I60.7|Hemorragia subaracnoidea no traumatica de arteria intracraneal no especificada|D
I60.8|Otra hemorragia subaracnoidea no traumatica|D
I60.9|Hemorragia subaracnoidea no traumatica, no especificada|D
I61.0|Hemorragia intracerebral no traumatica en hemisferio, subcortical|D
I61.1|Hemorragia intracerebral no traumatica en hemisferio, cortical|D
I61.2|Hemorragia intracerebral no traumatica en hemisferio, no especificada|D
I61.3|Hemorragia intracerebral no traumatica en tronco cerebral|D
I61.4|Hemorragia intracerebral no traumatica en cerebelo|D
I61.5|Hemorragia intracerebral no traumatica, intraventricular|D
I61.6|Hemorragia intracerebral no traumatica, localizacion multiple|D
I61.8|Otra hemorragia intracerebral no traumatica|D
I61.9|Hemorragia intracerebral no traumatica, no especificada|D
I62.00|Hemorragia subdural no traumatica, no especificada|D
I62.01|Hemorragia subdural aguda no traumatica|D
I62.02|Hemorragia subdural subaguda no traumatica|D
I62.03|Hemorragia subdural cronica no traumatica|D
I62.1|Hemorragia extradural no traumatica|D
I62.9|Hemorragia intracraneal no traumatica, no especificada|D
I63.00|Infarto cerebral debido a trombosis de arteria precerebral no especificada|D
I63.011|Infarto cerebral debido a trombosis de arteria vertebral derecha|D
I63.012|Infarto cerebral debido a trombosis de arteria vertebral izquierda|D
I63.019|Infarto cerebral debido a trombosis de arteria vertebral no especificada|D
I63.02|Infarto cerebral debido a trombosis de arteria basilar|D
I63.031|Infarto cerebral debido a trombosis de arteria carotida derecha|D
I63.032|Infarto cerebral debido a trombosis de arteria carotida izquierda|D
I63.039|Infarto cerebral debido a trombosis de arteria carotida no especificada|D
I63.09|Infarto cerebral debido a trombosis de otra arteria precerebral|D
I63.10|Infarto cerebral debido a embolia de arteria precerebral no especificada|D
I63.111|Infarto cerebral debido a embolia de arteria vertebral izquierda|D
I63.112|Infarto cerebral debido a embolia de arteria vertebral derecha|D
I63.119|Infarto cerebral debido a embolia de arteria vertebral no especificada|D
I63.12|Infarto cerebral debido a embolia de arteria basilar|D
I63.131|Infarto cerebral debido a embolia de arteria carotida derecha|D
I63.132|Infarto cerebral debido a embolia de arteria carotida izquierda|D
I63.139|Infarto cerebral debido a embolia de arteria carotida no especificada|D
I63.19|Infarto cerebral debido a embolia de otra arteria precerebral|D
I63.20|Infarto cerebral debido a oclusion o estenosis no especificada de arterias precerebrales no especificada|D
I63.211|Infarto cerebral debido a oclusion o estenosis no especificada de arterias vertebrales derechas|D
I63.212|Infarto cerebral debido a oclusion o estenosis no especificada de arterias vertebrales izquierdas|D
I63.219|Infarto cerebral debido a oclusion o estenosis no especificada de arterias vertebrales no especificada|D
I63.22|Infarto cerebral debido a oclusion o estenosis no especificada de arterias basilares|D
I63.231|Infarto cerebral debido a oclusion o estenosis no especificada de arteria carotida derecha|D
I63.232|Infarto cerebral debido a oclusion o estenosis no especificada de arteria carotida izquierda|D
I63.239|Infarto cerebral debido a oclusion o estenosis no especificada de arteria carotida no especificada|D
I63.29|Infarto cerebral debido a oclusion o estenosis no especificada de otras arterias precerebrales|D
I63.30|Infarto cerebral debido a trombosis de arteria cerebral no especificada|D
I63.311|Infarto cerebral debido a trombosis de arteria cerebral media derecha|D
I63.312|Infarto cerebral debido a trombosis de arteria cerebral media izquierda|D
I63.319|Infarto cerebral debido a trombosis de arteria cerebral media no especificada|D
I63.321|Infarto cerebral debido a trombosis de arteria cerebral anterior derecha|D
I63.322|Infarto cerebral debido a trombosis de arteria cerebral anterior izquierda|D
I63.329|Infarto cerebral debido a trombosis de arteria cerebral anterior no especificada|D
I63.331|Infarto cerebral debido a trombosis de arteria cerebral posterior derecha|D
I63.332|Infarto cerebral debido a trombosis de arteria cerebral posterior izquierda|D
I63.339|Infarto cerebral debido a trombosis de arteria cerebral posterior no especificada|D
I63.341|Infarto cerebral debido a trombosis de arteria cerebelosa derecha|D
I63.342|Infarto cerebral debido a trombosis de arteria cerebelosa izquierda|D
I63.349|Infarto cerebral debido a trombosis de arteria cerebelosa no especificada|D
I63.39|Infarto cerebral debido a trombosis de otra arteria cerebral|D
I63.40|Infarto cerebral debido a embolia de arteria cerebral no especificada|D
I63.411|Infarto cerebral debido a embolia de arteria cerebral media derecha|D
I63.412|Infarto cerebral debido a embolia de arteria cerebral media izquierda|D
I63.419|Infarto cerebral debido a embolia de arteria cerebral media no especificada|D
I63.421|Infarto cerebral debido a embolia de arteria cerebral anterior derecha|D
I63.422|Infarto cerebral debido a embolia de arteria cerebral anterior izquierda|D
I63.429|Infarto cerebral debido a embolia de arteria cerebral anterior no especificada|D
I63.431|Infarto cerebral debido a embolia de arteria cerebral posterior derecha|D
I63.432|Infarto cerebral debido a embolia de arteria cerebral posterior izquierda|D
I63.439|Infarto cerebral debido a embolia de arteria cerebral posterior no especificada|D
I63.441|Infarto cerebral debido a embolia de arteria cerebelosa derecha|D
I63.442|Infarto cerebral debido a embolia de arteria cerebelosa izquierda|D
I63.449|Infarto cerebral debido a embolia de arteria cerebelosa no especificada|D
I63.49|Infarto cerebral debido a embolia de otra arteria cerebral|D
I63.50|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebral no especificada|D
I63.511|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebral media derecha|D
I63.512|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebral media izquierda|D
I63.519|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebral media no especificada|D
I63.521|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebral anterior derecha|D
I63.522|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebral anterior izquierda|D
I63.529|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebral anterior no especificada|D
I63.531|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebral posterior izquierda|D
I63.532|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebral posterior derecha|D
I63.539|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebral posterior no especificada|D
I63.541|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebelosa izquierda|D
I63.542|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebelosa derecha|D
I63.549|Infarto cerebral debido a oclusion o estenosis no especificada de arteria cerebelosa no especificada|D
I63.59|Infarto cerebral debido a oclusion o estenosis no especificada de otra arteria cerebral|D
I63.6|Infarto cerebral debido a trombosis venosa cerebral, no piogena|D
I63.8|Otros infartos cerebrales|D
I63.9|Infarto cerebral, no especificado|D
I65.01|Oclusion y estenosis de arteria vertebral derecha|D
I65.02|Oclusion y estenosis de arteria vertebral izquierda|D
I65.03|Oclusion y estenosis de arterias vertebrales bilateral|D
I65.09|Oclusion y estenosis de arteria vertebral no especificada|D
I65.1|Oclusion y estenosis de arteria basilar|D
I65.21|Oclusion y estenosis de arteria carotida derecha|D
I65.22|Oclusion y estenosis de arteria carotida izquierda|D
I65.23|Oclusion y estenosis de arteria carotida bilateral|D
I65.29|Oclusion y estenosis de arteria carotida, no especificada|D
I65.8|Oclusion y estenosis de otras arterias precerebrales|D
I65.9|Oclusion y estenosis de arteria precerebral no especificada|D
I66.01|Oclusion y estenosis de arteria cerebral media derecha|D
I66.02|Oclusion y estenosis de arteria cerebral media izquierda|D
I66.03|Oclusion y estenosis de arterias cerebrales medias bilateral|D
I66.09|Oclusion y estenosis de arteria cerebral media, no especificada|D
I66.11|Oclusion y estenosis de arteria cerebral anterior derecha|D
I66.12|Oclusion y estenosis de arteria cerebral anterior izquierda|D
I66.13|Oclusion y estenosis de arterias cerebrales anteriores bilateral|D
I66.19|Oclusion y estenosis de arteria cerebral anterior, no especificada|D
I66.21|Oclusion y estenosis de arteria cerebral posterior derecha|D
I66.22|Oclusion y estenosis de arteria cerebral posterior izquierda|D
I66.23|Oclusion y estenosis de arterias cerebrales posteriores, bilateral|D
I66.29|Oclusion y estenosis de arteria cerebral posterior, no especificada|D
I66.3|Oclusion y estenosis de arterias cerebelosas|D
I66.8|Oclusion y estenosis de otras arterias cerebrales|D
I66.9|Oclusion y estenosis de arteria cerebral no especificada|D
I67.0|Diseccion de arterias cerebrales, no roto|D
I67.1|Aneurisma cerebral, no roto|D
I67.2|Aterosclerosis cerebral|D
I67.3|Leucoencefalopatia vascular progresiva|D
I67.4|Encefalopatia hipertensiva|D
I67.5|Enfermedad de Moyamoya|D
I67.6|Trombosis no piogena de sistema venoso intracraneal|D
I67.7|Arteritis cerebral, no clasificada bajo otro concepto|D
I67.81|Insuficiencia cerebrovascular aguda|D
I67.82|Isquemia cerebral|D
I67.83|Sindrome de en encefalopatia reversible posterior|D
I67.841|Sindrome de vasoconstriccion cerebrovascular reversible|D
I67.848|Otro vasoespasmo y vasoconstriccion cerebrovascular|D
I67.89|Otra enfermedad cerebrovascular|D
I67.9|Enfermedad cerebrovascular, no especificada|D
I68.0|Angiopatia amiloide cerebral|D
