TEXTO;CORRECCION
acude;acudir
relaciona;relacionar
evita;evitar
verifica;verificar
acarrea;acarrear
frena;frenar
denota;denotar
expande;expandir
adelgaza;adelgazar
descarta;descartar
posibilita;posibilitar
drena;drenar
omite;omitir
conecta;conectar
coagula;coagular
distingue;distinguir
antecede;anteceder
entierra;enterrar
cruza;cruzar
comunica;comunicar
cabalga;cabalgar
elimina;eliminar
regula;regular
emerge;emerger
aade;aadir
comprende;comprender
analiza;analizar
fabrica;fabricar
cultiva;cultivar
extrae;extraer
crece;crecer
disuelve;disolver
abusa;abusar
fuma;fumar
difiere;diferir
inhala;inhalar
bautiza;bautizar
ingiere;ingerir
descubre;descubrir
publica;publicar
califica;calificar
ostenta;ostentar
exporta;exportar
purifica;purificar
suprime;suprimir
diluye;diluir
cataliza;catalizar
reintroduce;reintroducir
anula;anular
registra;registrar
reside;residir
aleja;alejar
di;dar
culmina;culminar
compete;competer
sobrecorrige;sobrecorregir
infracorrige;infracorregir
pertenece;pertenecer
trasciende;trascender
argumenta;argumentar
defiende;defender
satisface;satisfacer
evoca;evocar
alegra;alegrar
domina;dominar
explota;explotar
perdi;perdar
coincide;coincidir
reconoce;reconocer
cuestiona;cuestionar
idealiza;idealizar
repite;repetir
simboliza;simbolizar
frica;fricar
intensifica;intensificar
empata;empatar
planea;planear
empobrece;empobrecer
adopta;adoptar
calienta;calentar
ajusta;ajustar
vierte;verter
sobreentiende;sobreentender
restringe;restringir
esterifica;esterificar
correlaciona;correlacionar
fomenta;fomentar
presume;presumir
desaparece;desaparecer
contacta;contactar
procesa;procesar
proyecta;proyectar
modula;modular
capacita;capacitar
compara;comparar
interfiere;interferir
investiga;investigar
sobrepasa;sobrepasar
interacciona;interaccionar
colocaliza;colocalizar
excluye;excluir
agita;agitar
asigna;asignar
confiere;conferir
adiciona;adicionar
reacciona;reaccionar
difunde;difundir
complementa;complementar
autorregula;autorregular
intercambia;intercambiar
enlaza;enlazar
reemplaza;reemplazar
acorta;acortar
finaliza;finalizar
contrasta;contrastar
oblitera;obliterar
fortalece;fortalecer
asegura;asegurar
garantiza;garantizar
ejercita;ejercitar
plantea;plantear
concede;conceder
disocia;disociar
protege;proteger
capta;captar
opta;optar
pide;pedir
restablece;restablecer
punciona;puncionar
cuantifica;cuantificar
halla;hallar
destaca;destacar
ventila;ventilar
padece;padecer
distiende;distender
cristaliza;cristalizar
despeja;despejar
nomina;nominar
encoge;encoger
erradica;erradicar
endurece;endurecer
comercializa;comercializar
deprime;deprimir
totaliza;totalizar
alarga;alargar
dicta;dictar
nombra;nombrar
salta;saltar
corrige;corregir
compite;competir
asemeja;asemejar
categoriza;categorizar
incita;incitar
hidroliza;hidrolizar
desgasta;desgastar
concierne;concernir
acecha;acechar
confunde;confundir
vigoriza;vigorizar
exhibe;exhibir
concentra;concentrar
viabiliza;viabilizar
acota;acotar
medica;medicar
recurre;recurrir
releva;relevar
trasmite;trasmitir
resalta;resaltar
revierte;revertir
insensibiliza;insensibilizar
debuta;debutar
respeta;respetar
palidece;palidecer
adquiere;adquirir
declara;declarar
adhiere;adherir
jadea;jadear
desaconseja;desaconsejar
perjudica;perjudicar
despliega;desplegar
preconiza;preconizar
alude;aludir
obedece;obedecer
luce;lucir
adosa;adosar
orienta;orientar
incrusta;incrustar
inflama;inflamar
modera;moderar
atrapa;atrapar
emborracha;emborrachar
enciende;encender
ilumina;iluminar
simula;simular
practica;practicar
revoluciona;revolucionar
enuncia;enunciar
concluye;concluir
predice;predecir
incentiva;incentivar
degrada;degradar
purpurea;purpurear
afronta;afrontar
autoriza;autorizar
promociona;promocionar
desprende;desprender
redistribuye;redistribuir
beneficia;beneficiar
prosigue;proseguir
solicita;solicitar
teme;temer
rechaza;rechazar
transita;transitar
accede;acceder
condiciona;condicionar
construye;construir
adelanta;adelantar
reajusta;reajustar
acumula;acumular
postula;postular
resume;resumir
sobreestima;sobreestimar
arroja;arrojar
gasta;gastar
minimiza;minimizar
vaporiza;vaporizar
abandera;abanderar
insta;instar
sella;sellar
encaja;encajar
fracasa;fracasar
reinicia;reiniciar
polariza;polarizar
deletrea;deletrear
codifica;codificar
vincula;vincular
acopla;acoplar
aprende;aprender
disfruta;disfrutar
contagia;contagiar
sustituye;sustituir
soluciona;solucionar
transcribe;transcribir
evoluciona;evolucionar
generaliza;generalizar
suspende;suspender
coloniza;colonizar
relata;relatar
pronostica;pronosticar
duerme;dormir
especifica;especificar
estriba;estribar
atrae;atraer
decide;decidir
suplanta;suplantar
desconecta;desconectar
recobra;recobrar
obstaculiza;obstaculizar
inaugura;inaugurar
inventa;inventar
conforma;conformar
organiza;organizar
lamina;laminar
admite;admitir
circunscribe;circunscribir
acrecienta;acrecentar
inerva;inervar
expele;expeler
delimita;delimitar
desdobla;desdoblar
traslada;trasladar
retoma;retomar
sincroniza;sincronizar
avisa;avisar
empapa;empapar
aprueba;aprobar
surte;surtir
enfrenta;enfrentar
malade;maladir
escapa;escapar
irradia;irradiar
arrolla;arrollar
rebasa;rebasar
florece;florecer
sumerge;sumergir
despide;despedir
moviliza;movilizar
abunda;abundar
arde;arder
decae;decaer
ordena;ordenar
tipifica;tipificar
selecciona;seleccionar
retrae;retraer
desactiva;desactivar
humedece;humedecer
pagina;paginar
vomita;vomitar
rebautiza;rebautizar
reporta;reportar
huele;oler
debilita;debilitar
constata;constatar
concibe;concebir
regulariza;regularizar
deduce;deducir
vigila;vigilar
revisa;revisar
reparte;repartir
reabsorbe;reabsorber
retrata;retratar
atormenta;atormentar
critica;criticar
dista;distar
coexiste;coexistir
espontanea;espontanear
inespecifica;inespecificar
naturaliza;naturalizar
azula;azular
contraindica;contraindicar
niega;negar
convive;convivir
reclama;reclamar
come;comer
ultima;ultimar
ocluye;ocluir
recambia;recambiar
recoloca;recolocar
achaca;achacar
intuye;intuir
asea;asear
supervisa;supervisar
deambula;deambular
anastomosa;anastomosar
promedia;promediar
reingresa;reingresar
predilata;predilatar
reaparece;reaparecer
dializa;dializar
retrograda;retrogradar
sorbe;sorber
pasea;pasear
prescribe;prescribir
exterioriza;exteriorizar
confiesa;confesar
tima;timar
canaliza;canalizar
rotula;rotular
invade;invadir
desaplaza;desaplazar
vertebra;vertebrar
atraganta;atragantar
transfiere;transferir
previsa;previsar
soporta;soportar
narra;narrar
ade;adir
interlinea;interlinear
planifica;planificar
detalla;detallar
puebla;poblar
claudica;claudicar
inmoviliza;inmovilizar
complica;complicar
optimiza;optimizar
aplasta;aplastar
alcaliza;alcalizar
bebe;beber
aclara;aclarar
recruza;recruzar
colecciona;coleccionar
cornea;cornear
trasplanta;trasplantar
magnifica;magnificar
visa;visar
alimenta;alimentar
profundiza;profundizar
cumplimenta;cumplimentar
desiste;desistir
perfrica;perfricar
disomina;disominar
discute;discutir
aguanta;aguantar
disfunciona;disfuncionar
suplementa;suplementar
suple;suplir
imposibilita;imposibilitar
tropieza;tropezar
enjaula;enjaular
pronuncia;pronunciar
radia;radiar
intriseca;intrisecar
nivela;nivelar
ata;atar
preside;presidir
margina;marginar
fracciona;fraccionar
echa;echar
frecuenta;frecuentar
incide;incidir
engrosa;engrosar
granula;granular
exige;exigir
invita;invitar
transgrede;transgredir
pivota;pivotar
enfurece;enfurecer
enfatiza;enfatizar
obsta;obstar
retrotrae;retrotraer
subraya;subrayar
abruma;abrumar
yace;yacer
compendia;compendiar
subyace;subyacer
dibuja;dibujar
prospera;prosperar
ensaya;ensayar
configura;configurar
goza;gozar
emociona;emocionar
apunta;apuntar
emprende;emprender
acontece;acontecer
incapacita;incapacitar
formula;formular
desconfirma;desconfirmar
computa;computar
exprime;exprimir
ejemplifica;ejemplificar
dota;dotar
estipula;estipular
moldea;moldear
enmarca;enmarcar
sustenta;sustentar
explicita;explicitar
responsabiliza;responsabilizar
acomete;acometer
impregna;impregnar
persigue;perseguir
vislumbra;vislumbrar
pace;pacer
ilustra;ilustrar
sacha;sachar
place;placer
articula;articular
ratifica;ratificar
pervive;pervivir
desposee;desposeer
odia;odiar
inscribe;inscribir
anhela;anhelar
secuestra;secuestrar
recrea;recrear
habita;habitar
desespera;desesperar
inflige;infligir
enriquece;enriquecer
escoge;escoger
agota;agotar
reconstituye;reconstituir
confronta;confrontar
clarifica;clarificar
resuena;resonar
acusa;acusar
aprieta;apretar
suscita;suscitar
maltrata;maltratar
anima;animar
jerarquiza;jerarquizar
destila;destilar
archiva;archivar
perfila;perfilar
adolece;adolecer
convence;convencer
costea;costear
contesta;contestar
radicaliza;radicalizar
repeta;repetar
intercede;interceder
exalta;exaltar
desmaya;desmayar
alienta;alentar
sacude;sacudir
escinde;escindir
aparta;apartar
mima;mimar
apela;apelar
agrupa;agrupar
repasa;repasar
promete;prometer
reza;rezar
desentiende;desentender
seduce;seducir
disfraza;disfrazar
imagina;imaginar
remarca;remarcar
desatiende;desatender
rastrea;rastrear
sobreincluye;sobreincluir
reafirma;reafirmar
verbaliza;verbalizar
desenvuelve;desenvolver
encierra;encerrar
focaliza;focalizar
monitoriza;monitorizar
atreve;atrever
modela;modelar
conceptualiza;conceptualizar
desvanece;desvanecer
distrae;distraer
desintegra;desintegrar
ofende;ofender
redacta;redactar
lamenta;lamentar
tranquiliza;tranquilizar
revienta;reventar
acoge;acoger
propugna;propugnar
ejecuta;ejecutar
actualiza;actualizar
reivindica;reivindicar
desgaja;desgajar
reproduce;reproducir
dirime;dirimir
aprovecha;aprovechar
entremezcla;entremezclar
examina;examinar
fragmenta;fragmentar
extrapola;extrapolar
reposa;reposar
acierta;acertar
disfrica;disfricar
desvela;desvelar
recae;recaer
reprime;reprimir
restituye;restituir
desprecia;despreciar
mete;meter
refrenda;refrendar
renueva;renovar
preocupa;preocupar
gestiona;gestionar
subvenciona;subvencionar
reglamenta;reglamentar
edita;editar
desvaloriza;desvalorizar
desmiente;desmentir
aduce;aducir
imita;imitar
encuadra;encuadrar
condensa;condensar
inviste;investir
quebranta;quebrantar
desmerece;desmerecer
exonera;exonerar
incumbe;incumbir
rige;regir
consiente;consentir
antoja;antojar
tiraniza;tiranizar
avala;avalar
desacredita;desacreditar
choca;chocar
escande;escandir
preexiste;preexistir
flexibiliza;flexibilizar
sorprende;sorprender
sacrifica;sacrificar
autodestruye;autodestruir
fantasea;fantasear
revive;revivir
publicita;publicitar
desven;desver
cunde;cundir
compadece;compadecer
republica;republicar
financia;financiar
golpea;golpear
desagrada;desagradar
difumina;difuminar
teoriza;teorizar
dalla;dallar
despista;despistar
malecha;malechar
reinstala;reinstalar
trasluce;traslucir
rinde;rendir
materializa;materializar
aboca;abocar
neutraliza;neutralizar
asusta;asustar
aferra;aferrar
coge;coger
refugia;refugiar
equivoca;equivocar
convoca;convocar
esgrime;esgrimir
engancha;enganchar
disecciona;diseccionar
revaloriza;revalorizar
devora;devorar
titula;titular
embarca;embarcar
replica;replicar
insulta;insultar
descalifica;descalificar
intrae;intraer
exime;eximir
memoriza;memorizar
implementa;implementar
cuece;cocer
adi;adar
repara;reparar
rae;raer
redefine;redefinir
asimila;asimilar
aprehende;aprehender
tabula;tabular
propala;propalar
conmociona;conmocionar
retrocede;retroceder
faculta;facultar
imputa;imputar
erige;erigir
posiciona;posicionar
entrena;entrenar
reedita;reeditar
preserva;preservar
elogia;elogiar
impacta;impactar
autodescribe;autodescribir
colige;colegir
asombra;asombrar
decrece;decrecer
rescata;rescatar
matiza;matizar
sistematiza;sistematizar
impele;impeler
vagabundea;vagabundear
infiere;inferir
ensucia;ensuciar
desordena;desordenar
contradice;contradecir
estalla;estallar
apaga;apagar
vuela;volar
resurge;resurgir
dictamina;dictaminar
esboza;esbozar
certifica;certificar
anuncia;anunciar
deslumbra;deslumbrar
privilegia;privilegiar
instruye;instruir
priva;privar
prevalece;prevalecer
recopila;recopilar
encubre;encubrir
acapara;acaparar
despea;despear
metaforiza;metaforizar
mercantiliza;mercantilizar
tergiversa;tergiversar
oficia;oficiar
encanta;encantar
reaviva;reavivar
relativiza;relativizar
imparte;impartir
ahorra;ahorrar
rebela;rebelar
embota;embotar
aturde;aturdir
evade;evadir
trisa;trisar
agujerea;agujerear
pende;pender
institucionaliza;institucionalizar
resignifica;resignificar
humaniza;humanizar
entroniza;entronizar
edifica;edificar
elude;eludir
repliega;replegar
prescinde;prescindir
domestica;domesticar
legitima;legitimar
despenaliza;despenalizar
hunde;hundir
adscribe;adscribir
independiza;independizar
impera;imperar
irrumpe;irrumpir
aqueja;aquejar
atempera;atemperar
imbrica;imbricar
sensibiliza;sensibilizar
subvierte;subvertir
entabla;entablar
autoproduce;autoproducir
aflige;afligir
confluye;confluir
insabe;insaber
desalienta;desalentar
entorpece;entorpecer
prioriza;priorizar
interconecta;interconectar
desorganiza;desorganizar
propende;propender
capitaliza;capitalizar
tantea;tantear
divorcia;divorciar
paraliza;paralizar
persevera;perseverar
adentra;adentrar
triplica;triplicar
silencia;silenciar
auspicia;auspiciar
depara;deparar
cansa;cansar
exhorta;exhortar
remata;rematar
finge;fingir
desresponsabiliza;desresponsabilizar
compagina;compaginar
negocia;negociar
reputa;reputar
autocumple;autocumplir
arremete;arremeter
proscribe;proscribir
recrimina;recriminar
percata;percatar
congela;congelar
boicotea;boicotear
manipula;manipular
adiestra;adiestrar
regime;regemir
dulcifica;dulcificar
detesta;detestar
encabeza;encabezar
contrarresta;contrarrestar
solaza;solazar
rivaliza;rivalizar
infunde;infundir
reubica;reubicar
atiborra;atiborrar
relanza;relanzar
adormece;adormecer
reitera;reiterar
intoxica;intoxicar
exclama;exclamar
disimula;disimular
pervierte;pervertir
automatiza;automatizar
asoma;asomar
humilla;humillar
estremece;estremecer
gravita;gravitar
oscurece;oscurecer
conforta;confortar
anota;anotar
desquebraja;desquebrajar
recorta;recortar
sobrentiende;sobrentender
frustra;frustrar
agrede;agredir
reinterpreta;reinterpretar
oposita;opositar
esquinza;esquinzar
repugna;repugnar
atomiza;atomizar
mitiga;mitigar
victima;victimar
malgasta;malgastar
intercala;intercalar
enorgullece;enorgullecer
trasforma;trasformar
extingue;extinguir
emplaza;emplazar
descoloca;descolocar
recapitula;recapitular
sedimenta;sedimentar
reconstruye;reconstruir
sintoniza;sintonizar
privatiza;privatizar
agudiza;agudizar
ahorca;ahorcar
autentifica;autentificar
reprocha;reprochar
absuelve;absolver
deserta;desertar
perpeta;perpetar
amortaja;amortajar
decanta;decantar
desvitaliza;desvitalizar
sacraliza;sacralizar
obceca;obcecar
ausenta;ausentar
deniega;denegar
cohabita;cohabitar
resiste;resistir
subsiste;subsistir
desfallece;desfallecer
instituye;instituir
mediatiza;mediatizar
repudia;repudiar
desliga;desligar
apara;aparar
agobia;agobiar
remodela;remodelar
fisgonea;fisgonear
agarrota;agarrotar
fleta;fletar
encamina;encaminar
despoja;despojar
borbotea;borbotear
martiriza;martirizar
alardea;alardear
irrita;irritar
portea;portear
unifica;unificar
atemoriza;atemorizar
entrelaza;entrelazar
encadena;encadenar
vence;vencer
azuza;azuzar
enjuicia;enjuiciar
redondea;redondear
horada;horadar
despunta;despuntar
tiembla;temblar
clama;clamar
afianza;afianzar
redi;redar
sobrevuela;sobrevolar
singulariza;singularizar
desata;desatar
dosifica;dosificar
abomina;abominar
aterra;aterrar
germina;germinar
coquetea;coquetear
rescribe;rescribir
apercibe;apercibir
deforma;deformar
enerva;enervar
desquicia;desquiciar
sustrae;sustraer
acaece;acaecer
arrebata;arrebatar
esclarece;esclarecer
empantana;empantanar
urde;urdir
polemiza;polemizar
puntualiza;puntualizar
ampara;amparar
destroza;destrozar
income;incomer
recodifica;recodificar
coteja;cotejar
infringe;infringir
remedia;remediar
aplaza;aplazar
alborota;alborotar
desposa;desposar
replace;replacer
matricula;matricular
graba;grabar
corrompe;corromper
remueve;remover
derrocha;derrochar
regocija;regocijar
arrima;arrimar
revolotea;revolotear
trastoca;trastocar
abraza;abrazar
vulnera;vulnerar
transciende;transcender
contamina;contaminar
desmonta;desmontar
discrimina;discriminar
atenaza;atenazar
conmina;conminar
simplifica;simplificar
estigmatiza;estigmatizar
presiente;presentir
castiga;castigar
oprime;oprimir
personifica;personificar
entristece;entristecer
animaliza;animalizar
inocula;inocular
refuta;refutar
brilla;brillar
apodera;apoderar
baila;bailar
arrasa;arrasar
amplifica;amplificar
impugna;impugnar
desnaturaliza;desnaturalizar
asalta;asaltar
resplandece;resplandecer
delinea;delinear
reniega;renegar
conmueve;conmover
asevera;aseverar
compele;compeler
encarrila;encarrilar
augura;augurar
alumbra;alumbrar
embarga;embargar
palpita;palpitar
brota;brotar
sanciona;sancionar
adjudica;adjudicar
incurre;incurrir
coopera;cooperar
jala;jalar
medita;meditar
agradece;agradecer
enturbia;enturbiar
jacta;jactar
yergue;erguir
deseca;desecar
complace;complacer
revoca;revocar
abrasa;abrasar
canta;cantar
afloja;aflojar
anochece;anochecer
amanece;amanecer
cuela;colar
muerde;morder
alegoriza;alegorizar
desobedece;desobedecer
remacha;remachar
escenifica;escenificar
desbarata;desbaratar
acosa;acosar
sobrecoge;sobrecoger
enaltece;enaltecer
hiere;herir
transparenta;transparentar
enrosca;enroscar
capitula;capitular
aniquila;aniquilar
horroriza;horrorizar
decepciona;decepcionar
objeta;objetar
gratifica;gratificar
problematiza;problematizar
azota;azotar
acaricia;acariciar
racionaliza;racionalizar
reorganiza;reorganizar
delata;delatar
reta;retar
derrite;derretir
coarta;coartar
contabiliza;contabilizar
dignifica;dignificar
reconceptualiza;reconceptualizar
ofusca;ofuscar
detenta;detentar
instrumenta;instrumentar
desaloja;desalojar
desfila;desfilar
comparece;comparecer
protagoniza;protagonizar
macula;macular
monopoliza;monopolizar
halaga;halagar
compensa;compensar
quintuplica;quintuplicar
contextualiza;contextualizar
reluce;relucir
reformula;reformular
amputa;amputar
subscribe;subscribir
malogra;malograr
colorea;colorear
desinviste;desinvestir
sopesa;sopesar
engrandece;engrandecer
oficializa;oficializar
descentraliza;descentralizar
peralta;peraltar
defeca;defecar
ejemplariza;ejemplarizar
contrapesa;contrapesar
disparata;disparatar
parea;parear
descondiciona;descondicionar
profiere;proferir
vacila;vacilar
aborrece;aborrecer
consuela;consolar
diviniza;divinizar
reorienta;reorientar
signa;signar
desabrocha;desabrochar
embaraza;embarazar
suplica;suplicar
campea;campear
desmitifica;desmitificar
caricaturiza;caricaturizar
recata;recatar
coconstruye;coconstruir
ayerra;aerrar
cela;celar
deslegitima;deslegitimar
agrada;agradar
solidariza;solidarizar
trascurre;trascurrir
desautoriza;desautorizar
invoca;invocar
traiciona;traicionar
dinamiza;dinamizar
revitaliza;revitalizar
suscribe;suscribir
derriba;derribar
substituye;substituir
malinterpreta;malinterpretar
moderniza;modernizar
desdibuja;desdibujar
hipnotiza;hipnotizar
desluce;deslucir
desmantela;desmantelar
habilita;habilitar
decreta;decretar
pulveriza;pulverizar
transige;transigir
volatiliza;volatilizar
espanta;espantar
melancoliza;melancolizar
sobrediagnostica;sobrediagnosticar
resiente;resentir
empareja;emparejar
descongela;descongelar
pertusa;pertusar
personaliza;personalizar
transmuta;transmutar
bendice;bendecir
autodefine;autodefinir
vehicula;vehicular
reconfigura;reconfigurar
regenta;regentar
recita;recitar
pacta;pactar
enloquece;enloquecer
intranquiliza;intranquilizar
canturrea;canturrear
cortocircuita;cortocircuitar
ahorma;ahormar
desmarca;desmarcar
sucumbe;sucumbir
escuece;escocer
abulta;abultar
preanuncia;preanunciar
adereza;aderezar
polimeriza;polimerizar
masca;mascar
desprestigia;desprestigiar
contrista;contristar
consterna;consternar
pormenoriza;pormenorizar
redobla;redoblar
desempolva;desempolvar
cuadriplica;cuadriplicar
urge;urgir
adultera;adulterar
desvive;desvivir
inquiere;inquirir
escupe;escupir
bolla;bollar
santifica;santificar
concierta;concertar
arrostra;arrostrar
afea;afear
replantea;replantear
refresca;refrescar
reverdece;reverdecer
cerdea;cerdear
hospitaliza;hospitalizar
persuade;persuadir
reciproca;reciprocar
petrifica;petrificar
prelude;preludir
rebate;rebatir
penaliza;penalizar
formaliza;formalizar
concurre;concurrir
desmenuza;desmenuzar
espeta;espetar
hierve;hervir
realimenta;realimentar
aplaca;aplacar
difracta;difractar
bosteza;bostezar
armoniza;armonizar
redime;redimir
deleita;deleitar
maquilla;maquillar
connota;connotar
subestima;subestimar
cualifica;cualificar
acondiciona;acondicionar
cicla;ciclar
escurre;escurrir
escruta;escrutar
autocomprende;autocomprender
individualiza;individualizar
redirige;redirigir
bromea;bromear
desvincula;desvincular
revincula;revincular
gorrea;gorrear
apetece;apetecer
desguaza;desguazar
agarra;agarrar
desparece;desparecer
aporrea;aporrear
gime;gemir
redescubre;redescubrir
alquila;alquilar
pernocta;pernoctar
cosquilla;cosquillar
sopla;soplar
embelesa;embelesar
ironiza;ironizar
saborea;saborear
atonta;atontar
hoza;hozar
empece;empecer
criminaliza;criminalizar
notifica;notificar
sondea;sondear
anquilosa;anquilosar
enhebra;enhebrar
prestigia;prestigiar
diversifica;diversificar
bordea;bordear
autodetermina;autodeterminar
autogestiona;autogestionar
ensombrece;ensombrecer
arrepiente;arrepentir
discierne;discernir
antima;antimar
iza;izar
pee;peer
encapsula;encapsular
fustiga;fustigar
aletarga;aletargar
autentica;autenticar
nausea;nausear
instiga;instigar
concita;concitar
regenera;regenerar
preludia;preludiar
embruja;embrujar
descontextualiza;descontextualizar
bosqueja;bosquejar
pondera;ponderar
reactualiza;reactualizar
desdice;desdecir
lidera;liderar
destapa;destapar
coadyuva;coadyuvar
rezuma;rezumar
desencalla;desencallar
subleva;sublevar
abstrae;abstraer
estropea;estropear
descentra;descentrar
remunera;remunerar
sermonea;sermonear
decapita;decapitar
divierte;divertir
exorciza;exorcizar
desescombra;desescombrar
socializa;socializar
desestigmatiza;desestigmatizar
predica;predicar
reordena;reordenar
clausula;clausular
cogestiona;cogestionar
resquebraja;resquebrajar
inmuniza;inmunizar
ruge;rugir
tributa;tributar
despilfarra;despilfarrar
desinforma;desinformar
desecha;desechar
trueca;trocar
incumple;incumplir
atribula;atribular
coorigina;cooriginar
vehiculiza;vehiculizar
demarca;demarcar
parafrasea;parafrasear
enoja;enojar
desacopla;desacoplar
encauza;encauzar
trota;trotar
traquetea;traquetear
sobredetermina;sobredeterminar
pliega;plegar
renace;renacer
interpela;interpelar
intitula;intitular
vadea;vadear
autoexplota;autoexplotar
sobrelleva;sobrellevar
traumatiza;traumatizar
solidifica;solidificar
devala;devalar
contornea;contornear
alaba;alabar
acredita;acreditar
menoscaba;menoscabar
perata;peratar
menosprecia;menospreciar
reversa;reversar
reutiliza;reutilizar
torra;torrar
codi;codar
estratifica;estratificar
sobrestima;sobrestimar
reclasifica;reclasificar
solventa;solventar
agiliza;agilizar
congratula;congratular
audita;auditar
profesionaliza;profesionalizar
punza;punzar
alinea;alinear
encarece;encarecer
desaprueba;desaprobar
tramita;tramitar
acidifica;acidificar
deshidrata;deshidratar
reestablece;reestablecer
simultanea;simultanear
chinea;chinear
desglosa;desglosar
aincluye;aincluir
estandariza;estandarizar
desajusta;desajustar
malatesta;malatestar
remplaza;remplazar
maximiza;maximizar
familiariza;familiarizar
esquematiza;esquematizar
inaba;inabar
aguerre;aguerrir
reinfunde;reinfundir
adsorbe;adsorber
homogeneiza;homogeneizar
envasa;envasar
desconcierta;desconcertar
perfecciona;perfeccionar
esparce;esparcir
diata;diatar
apostema;apostemar
despacha;despachar
ahuyenta;ahuyentar
fortifica;fortificar
esclaviza;esclavizar
bonifica;bonificar
escamotea;escamotear
nortea;nortear
rebota;rebotar
aiza;aizar
espolvorea;espolvorear
estrangula;estrangular
instila;instilar
rectifica;rectificar
milita;militar
surca;surcar
arroya;arroyar
escatima;escatimar
autopercibe;autopercibir
sortea;sortear
ensambla;ensamblar
espala;espalar
compila;compilar
emparenta;emparentar
