TEXTO;CORRECCION
distiende;distender
fluyan;fluir
cristaliza;cristalizar
recuerda;recordar
instaura;instaurar
despeja;despejar
emitan;emitir
nomina;nominar
agranda;agrandar
encoge;encoger
sometan;someter
erradica;erradicar
endurece;endurecer
comercializa;comercializar
deprime;deprimir
dispongan;disponer
instilen;instilar
potencien;potenciar
obligados;obligar
originen;originar
totaliza;totalizar
alarga;alargar
coordina;coordinar
dicta;dictar
nombra;nombrar
salta;saltar
compite;competir
asemeja;asemejar
acentúen;acentuar
tomen;tomar
categoriza;categorizar
incita;incitar
hidroliza;hidrolizar
desgasta;desgastar
deslíe;desleír
concierne;concernir
acecha;acechar
confunde;confundir
vigoriza;vigorizar
traigan;traer
contraten;contratar
acudan;acudir
abrumen;abrumar
exhibe;exhibir
concentra;concentrar
ingieran;ingerir
acentúa;acentuar
dudemos;dudar
surjan;surgir
viabiliza;viabilizar
pasen;pasar
garanticen;garantizar
acota;acotar
medica;medicar
recurre;recurrir
releva;relevar
trasmite;trasmitir
engloba;englobar
resalta;resaltar
revierte;revertir
constituyan;constituir
tolera;tolerar
insensibiliza;insensibilizar
lacten;lactar
acuña;acuñar
invalida;invalidar
fallan;fallar
debuta;debutar
respeta;respetar
hinchan;hinchar
envíen;enviar
tose;toser
palidece;palidecer
adquiere;adquirir
declara;declarar
decidan;decidir
apunten;apuntar
realicen;realizar
palpa;palpar
adhiere;adherir
jadea;jadear
boquea;boquear
advierte;advertir
interrumpan;interrumpir
revalúa;revaluar
sepan;saber
entuba;entubar
insufla;insuflar
desaconseja;desaconsejar
instala;instalar
apoyen;apoyar
perjudica;perjudicar
despliega;desplegar
preconiza;preconizar
alude;aludir
permanezcan;permanecer
obedece;obedecer
luce;lucir
adosa;adosar
recomiendo;recomer
orienta;orientar
incrusta;incrustar
inflama;inflamar
modera;moderar
atrapa;atrapar
emborracha;emborrachar
cohoba;cohobar
prohíbe;prohibir
enciende;encender
ilumina;iluminar
simula;simular
practica;practicar
elabora;elaborar
revoluciona;revolucionar
olviden;olvidar
enuncia;enunciar
concluye;concluir
conmemora;conmemorar
predice;predecir
incentiva;incentivar
degrada;degradar
expira;expirar
purpurea;purpurear
afronta;afrontar
autoriza;autorizar
incentiven;incentivar
promociona;promocionar
desprende;desprender
redistribuye;redistribuir
beneficia;beneficiar
prosigue;proseguir
solicita;solicitar
teme;temer
rechaza;rechazar
unan;unir
vivan;vivir
transita;transitar
accede;acceder
dedica;dedicar
vayan;ir
venden;vender
enfrenten;enfrentar
condiciona;condicionar
encuentren;encontrar
construye;construir
adelanta;adelantar
reajusta;reajustar
adopten;adoptar
acumula;acumular
postula;postular
resume;resumir
arquea;arquear
engorda;engordar
señala;señalar
sobreestima;sobreestimar
colabora;colaborar
arroja;arrojar
intervengan;intervenir
gasta;gastar
pierdan;perder
debiliten;debilitar
pongan;poner
fortalezcan;fortalecer
revitalicen;revitalizar
minimiza;minimizar
vive;vivir
exacerba;exacerbar
vaporiza;vaporizar
quieran;querer
abandera;abanderar
suscriban;suscribir
comprometan;comprometer
insta;instar
lesiona;lesionar
labora;laborar
sella;sellar
encaja;encajar
fracasa;fracasar
reinicia;reiniciar
actúen;actuar
polariza;polarizar
usen;usar
alteren;alterar
desmoralicen;desmoralizar
depriman;deprimir
busquen;buscar
dilaten;dilatar
desvía;desviar
codifica;codificar
recubran;recubrir
vincula;vincular
liberen;liberar
acopla;acoplar
aprende;aprender
disfruta;disfrutar
contagia;contagiar
sustituye;sustituir
aparenten;aparentar
soluciona;solucionar
transcribe;transcribir
incluyan;incluir
evoluciona;evolucionar
atraviesen;atravesar
inflamen;inflamar
generaliza;generalizar
utilicen;utilizar
suspende;suspender
alerten;alertar
coloniza;colonizar
relata;relatar
respalda;respaldar
llora;llorar
cursen;cursar
pronostica;pronosticar
duerme;dormir
trasparece;trasparecer
especifica;especificar
estriba;estribar
atrae;atraer
decide;decidir
abran;abrir
conviertan;convertir
cuida;cuidar
oliven;olivar
aspira;aspirar
suplanta;suplantar
desconecta;desconectar
recobra;recobrar
obstaculiza;obstaculizar
abandona;abandonar
inaugura;inaugurar
inventa;inventar
alimenten;alimentar
sugieran;sugerir
demuestren;demostrar
conforma;conformar
conozcan;conocer
organiza;organizar
lamina;laminar
perturba;perturbar
admite;admitir
corrijan;corregir
circunscribe;circunscribir
generen;generar
resulten;resultar
acrecienta;acrecentar
inspira;inspirar
padezcan;padecer
inerva;inervar
expele;expeler
presiona;presionar
delimita;delimitar
quita;quitar
desdobla;desdoblar
asienta;asentar
traslada;trasladar
reanuda;reanudar
coruña;coruñar
conserven;conservar
retoma;retomar
sincroniza;sincronizar
avisa;avisar
empapa;empapar
aprueba;aprobar
pretendan;pretender
cataloga;catalogar
colaboren;colaborar
surte;surtir
dora;dorar
contribuyan;contribuir
enfrenta;enfrentar
aúna;aunar
malade;maladir
escapa;escapar
paran;parar
irradia;irradiar
arrolla;arrollar
rebasa;rebasar
vibra;vibrar
florece;florecer
amplía;ampliar
sumerge;sumergir
despide;despedir
moviliza;movilizar
abunda;abundar
arde;arder
decae;decaer
ordena;ordenar
tipifica;tipificar
selecciona;seleccionar
allana;allanar
retrae;retraer
desactiva;desactivar
trabajen;trabajar
humedece;humedecer
filtra;filtrar
redunda;redundar
pagina;paginar
comiencen;comenzar
inicien;iniciar
reconozcan;reconocer
acumulen;acumular
vomita;vomitar
querido;querer
compongan;componer
rebautiza;rebautizar
reporta;reportar
huele;oler
prefieran;preferir
aumenten;aumentar
consulten;consultar
tiñe;teñir
debilita;debilitar
constata;constatar
concibe;concebir
auxilia;auxiliar
regulariza;regularizar
deduce;deducir
vigila;vigilar
revisa;revisar
reparte;repartir
reabsorbe;reabsorber
retrata;retratar
ocurran;ocurrir
escapen;escapar
atormenta;atormentar
critica;criticar
prolifera;proliferar
colapsa;colapsar
duren;durar
linea;linear
dista;distar
ultima;ultimar
creemos;creer
coexiste;coexistir
espontanea;espontanear
impresiona;impresionar
justifiquen;justificar
capsula;capsular
inespecifica;inespecificar
hibrida;hibridar
sobrecaga;sobrecagar
naturaliza;naturalizar
traten;tratar
azula;azular
orienten;orientar
contraindica;contraindicar
branden;brandar
complica;complicar
analicen;analizar
formula;formular
peralta;peraltar
aclaren;aclarar
breen;brear
apunta;apuntar
predilata;predilatar
financia;financiar
reafirma;reafirmar
triplica;triplicar
sustenta;sustentar
calcifica;calcificar
subestima;subestimar
atañe;atañer
bailen;bailar
carezcan;carecer
codifiquen;codificar
discute;discutir
suden;sudar
recae;recaer
reciban;recibir
reestablece;reestablecer
desaparezcan;desaparecer
supriman;suprimir
tarden;tardar
resuelvan;resolver
es;ser
subespecializan;subespecializar
dependiendo;depender
requieren;requerir
relacionados;relacionar
incluyendo;incluir
relacionado;relacionar
encuentran;encontrar
ingresados;ingresar
acuden;acudir
precisan;precisar
intervenido;intervenir
tienden;tender
incluyen;incluir
sometidos;someter
entran;entrar
ocasionan;ocasionar
citan;citar
caracterizado;caracterizar
causada;causar
descrita;describir
relacionada;relacionar
disminuyendo;disminuir
deteniendo;detener
ocurren;ocurrir
inyectando;inyectar
exagerados;exagerar
confirman;confirmar
observan;observar
elevado;elevar
pueden;poder
elevadas;elevar
hacen;hacer
previenen;prevenir
están;estar
contraindicados;contraindicar
localizado;localizar
ocasionado;ocasionar
proviene;provenir
calificada;calificar
superan;superar
sentado;sentar
confunden;confundir
pudieran;poder
complicando;complicar
aumentadas;aumentar
tienen;tener
existen;existir
elevan;elevar
corregido;corregir
usados;usar
disminuyen;disminuir
realizada;realizar
incrementando;incrementar
oxigenada;oxigenar
sido;ser
inhiben;inhibir
acumulado;acumular
usan;usar
reducen;reducir
traen;traer
revierten;revertir
sugerido;sugerir
iniciando;iniciar
aumentan;aumentar
previniendo;prevenir
producido;producir
animadas;animar
ocluida;ocluir
obstruido;obstruir
introduciendo;introducir
ocluido;ocluir
charles;charlar
realizaron;realizar
acuñaron;acuñar
realizó;realizar
quedó;quedar
indicada;indicar
calcificadas;calcificar
llevó;llevar
debido;deber
temidas;temer
elevada;elevar
generalizó;generalizar
disecado;disecar
mejoró;mejorar
debió;deber
mostrados;mostrar
unidos;unir
lograron;lograr
desplazando;desplazar
tiene;tener
compuesta;componer
hace;hacer
formado;formar
especializado;especializar
formes;formar
representada;representar
drenan;drenar
vacían;vaciar
exhalado;exhalar
cerrado;cerrar
transportado;transportar
incluido;incluir
abierto;abrir
contenida;contener
bombeada;bombear
regresando;regresar
hay;haber
desoxigenada;desoxigenar
evolucionados;evolucionar
tomando;tomar
cargada;cargar
forman;formar
contienen;contener
desembocan;desembocar
inició;iniciar
descubrió;descubrir
contiene;contener
originado;originar
originadas;originar
transportan;transportar
transforman;transformar
descienden;descender
originan;originar
separadas;separar
sincronizadas;sincronizar
pasan;pasar
poseen;poseer
viene;venir
contraen;contraer
será;ser
tabicado;tabicar
incluidos;incluir
compone;componer
tomarán;tomar
dejarán;dejar
conectados;conectar
juntan;juntar
devuelven;devolver
llevan;llevar
pasando;pasar
controlados;controlar
privada;privar
depositado;depositar
deben;deber
cuentan;contar
previene;prevenir
variada;variar
ingerida;ingerir
evitando;evitar
invertebra;invertebrar
supone;suponer
presentan;presentar
resultan;resultar
inadecuada;inadecuar
acelerados;acelerar
adecuado;adecuar
sostenidas;sostener
acelerado;acelerar
comandado;comandar
especializada;especializar
constituyen;constituir
producen;producir
denominado;denominar
predisponen;predisponer
causan;causar
asocian;asociar
descritos;describir
aisladas;aislar
deberá;deber
clasificadas;clasificar
interfieren;interferir
generado;generar
controlada;controlar
conducido;conducir
dentada;dentar
administran;administrar
descontrolada;descontrolar
envían;enviar
dependerá;depender
logran;lograr
conducidos;conducir
sincronizada;sincronizar
estimulada;estimular
mejorando;mejorar
emplean;emplear
resultará;resultar
retardado;retardar
mencionadas;mencionar
llegan;llegar
generados;generar
conducidas;conducir
generada;generar
ocurrido;ocurrir
tratadas;tratar
sostenida;sostener
operan;operar
prolongado;prolongar
precedido;preceder
caracterizada;caracterizar
podrá;poder
aportan;aportar
clasificados;clasificar
utilizado;utilizar
impidiendo;impedir
generalizado;generalizar
introducido;introducir
influyen;influir
deberían;deber
generalizada;generalizar
elevados;elevar
desencadenarían;desencadenar
promoverían;promover
sumados;sumar
diferencian;diferenciar
producida;producir
demostrado;demostrar
buscado;buscar
equilibrada;equilibrar
encontraron;encontrar
requerida;requerir
encontrados;encontrar
evidenciaron;evidenciar
van;ir
produciendo;producir
denominados;denominar
propone;proponer
antepone;anteponer
terminado;terminar
inician;iniciar
ocupando;ocupar
esparcidos;esparcir
avanzados;avanzar
irrigada;irrigar
suministran;suministrar
provocan;provocar
protegen;proteger
relacionadas;relacionar
definida;definir
intervienen;intervenir
refieren;referir
retiran;retirar
saturados;saturar
producidas;producir
utilizadas;utilizar
denominadas;denominar
rompen;romper
provocando;provocar
inducida;inducir
seguido;seguir
mediada;mediar
identificados;identificar
citados;citar
ligada;ligar
siendo;ser
convertido;convertir
sintetizada;sintetizar
dañadas;dañar
predicen;predecir
muestran;mostrar
alterada;alterar
unida;unir
afectan;afectar
pronunciado;pronunciar
depositan;depositar
interpretan;interpretar
excitan;excitar
excitadas;excitar
penetran;penetrar
comienzan;comenzar
acumuladas;acumular
activadas;activar
modifican;modificar
elaboran;elaborar
acumulan;acumular
generando;generar
comprenden;comprender
mostrado;mostrar
formando;formar
ero;erar
reduciendo;reducir
oxidan;oxidar
oxidados;oxidar
detectados;detectar
ingeridos;ingerir
estimulan;estimular
reclutan;reclutar
detectado;detectar
reclutadas;reclutar
secretan;secretar
favoreciendo;favorecer
caracterizan;caracterizar
localizada;localizar
obstruidas;obstruir
emitió;emitir
buscando;buscar
fundamentó;fundamentar
obtenido;obtener
sumado;sumar
utilizados;utilizar
tenemos;tener
modificando;modificar
vuelven;volver
usado;usar
causado;causar
clasifican;clasificar
transmiten;transmitir
bloquean;bloquear
interrumpen;interrumpir
vienen;venir
ubicado;ubicar
ovalada;ovalar
ubicada;ubicar
estriadas;estriar
compuestas;componer
rodeadas;rodear
sirviendo;servir
conocen;conocer
intercalares;intercalar
excitados;excitar
despolarizadas;despolarizar
trabajando;trabajar
variadas;variar
adquiridas;adquirir
manifiestan;manifestar
describen;describir
demorada;demorar
opuesta;oponer
apropiado;apropiar
pudiendo;poder
definidas;definir
acompañan;acompañar
irrigan;irrigar
inflamado;inflamar
entendiendo;entender
apareció;aparecer
tenido;tener
distinguen;distinguir
variado;variar
apareciendo;aparecer
diferenciada;diferenciar
evaluados;evaluar
propuesto;proponer
ajustan;ajustar
individualizada;individualizar
desconocían;desconocer
habido;haber
acompañado;acompañar
describió;describir
publicó;publicar
relacionó;relacionar
concluyó;concluir
interviene;intervenir
marcada;marcar
modificados;modificar
fuman;fumar
dificultan;dificultar
fundamentado;fundamentar
admitiendo;admitir
conllevan;conllevar
empeorando;empeorar
venido;venir
nacen;nacer
formadas;formar
disminuido;disminuir
revertirá;revertir
cesan;cesar
mueren;morir
progresan;progresar
sobrevivido;sobrevivir
continúan;continuar
teniendo;tener
infartó;infartar
trayendo;traer
reciben;recibir
presentaron;presentar
realizan;realizar
penetrando;penetrar
obtuvieron;obtener
detectando;detectar
obstruida;obstruir
permiten;permitir
detallada;detallar
abarcan;abarcar
debidas;deber
tuvieron;tener
realizadas;realizar
consistió;consistir
apuñalado;apuñalar
despertó;despertar
pareció;parecer
enfermó;enfermar
sufrió;sufrir
acabó;acabar
muriendo;morir
probó;probar
reparó;reparar
volvió;volver
intervino;intervenir
practicó;practicar
insertó;insertar
dañada;dañar
sobrevivió;sobrevivir
decidieron;decidir
justificado;justificar
pudo;poder
cambió;cambiar
llevaron;llevar
retomó;retomar
usando;usar
adoptaron;adoptar
empezaron;empezar
aceptada;aceptar
operó;operar
reparando;reparar
desconociendo;desconocer
usó;usar
diseñado;diseñar
diseñó;diseñar
hizo;hacer
abierto;abrir
drenado;drenar
dirigió;dirigir
dieron_cuenta;dar_cuenta
proporcionada;proporcionar
informó;informar
abandonó;abandonar
decepcionado;decepcionar
comenzó;comenzar
trabajó;trabajar
construyeron;construir
trabajaron;trabajar
tratando;tratar
podían;poder
trasladó;trasladar
empezó;empezar
unió;unir
modificado;modificar
redujo;reducir
murió;morir
presentó;presentar
utilizó;utilizar
utilizando;utilizar
reanudó;reanudar
adecuados;adecuar
asoció;asociar
empezado;empezar
citado;citar
estabilizado;estabilizar
controvertidos;controvertir
siguen;seguir
crecido;crecer
asistida;asistir
hecha;hacer
reducido;reducir
atribuidos;atribuir
pensó;pensar
publicada;publicar
situada;situar
aumentado;aumentar
sugieren;sugerir
indicado;indicar
realizado;realizar
experimentadas;experimentar
cierran;cerrar
pertenecen;pertenecer
empiezan;empezar
llegando;llegar
aproximado;aproximar
permanecen;permanecer
flanqueado;flanquear
rodeado;rodear
inclinada;inclinar
surgen;surgir
dividido;dividir
transfieren;transferir
impulsada;impulsar
cumplen;cumplir
situadas;situar
disponen;disponer
actúan;actuar
sirven;servir
insertan;insertar
llaman;llamar
formada;formar
componen;componer
estriado;estriar
especializados;especializar
nutren;nutrir
proceden;proceder
parten;partir
ramifican;ramificar
alcanzan;alcanzar
dividiendo;dividir
separando;separar
trabajan;trabajar
funcionan;funcionar
entrando;entrar
propulsada;propulsar
captado;captar
expulsado;expulsar
bombeando;bombear
aumentando;aumentar
dilatando;dilatar
va;ir
precedida;preceder
facilitan;facilitar
constituido;constituir
especializadas;especializar
conforman;conformar
analizada;analizar
consideran;considerar
entrenados;entrenar
determinada;determinar
incrementada;incrementar
ralentizando;ralentizar
dice;decir
representan;representar
comprendida;comprender
determinados;determinar
colocando;colocar
obtiene;obtener
obtienen;obtener
continuado;continuar
controlado;controlar
consiguen;conseguir
sustituida;sustituir
bañados;bañar
dispone;disponer
propulsan;propulsar
recogen;recoger
impulsan;impulsar
captan;captar
dan;dar
trasladan;trasladar
mezclan;mezclar
separados;separar
bombean;bombear
inclinado;inclinar
coactiva;coactivar
dirigido;dirigir
permitirá;permitir
impiden;impedir
conociendo;conocer
acertado;acertar
acumulo;acumular
serán;ser
infectados;infectar
documentado;documentar
producirá;producir
dilatas;dilatar
encabezan;encabezar
reducirá;reducir
estará;estar
reducida;reducir
adecuada;adecuar
desaparecen;desaparecer
debida;deber
causando;causar
insertando;insertar
atravesando;atravesar
requerirá;requerir
restableciendo;restablecer
despolarizando;despolarizar
debidos;deber
denominada;denominar
establecen;establecer
pensado;pensar
siguiendo;seguir
colocan;colocar
concurridos;concurrir
aconsejados;aconsejar
guían;guiar
indicando;indicar
adecuadas;adecuar
decidiendo;decidir
desapareciendo;desaparecer
realizando;realizar
cansado;cansar
apoyados;apoyar
fomentan;fomentar
registran;registrar
contratado;contratar
implantado;implantar
mueven;mover
vemos;ver
exigen;exigir
regulan;regular
impartido;impartir
salvó;salvar
catalogada;catalogar
observada;observar
presentado;presentar
registrados;registrar
divulgadas;divulgar
infiltrados;infiltrar
complicado;complicar
impartidas;impartir
mantienen;mantener
podrían;poder
ido;ir
perfeccionaron;perfeccionar
permitiendo;permitir
extendiendo;extender
obteniendo;obtener
variando;variar
evaluando;evaluar
utilizan;utilizar
transmitidos;transmitir
reflejados;reflejar
pulsado;pulsar
agitados;agitar
desarrolló;desarrollar
estaban;estar
aportado;aportar
aportará;aportar
probada;probar
contraindicada;contraindicar
adquirida;adquirir
dilatadas;dilatar
mere;merar
programada;programar
realizados;realizar
designado;designar
considerada;considerar
agregan;agregar
debemos;deber
constituidas;constituir
hallan;hallar
causadas;causar
padecen;padecer
sufren;sufrir
comparten;compartir
aparecen;aparecer
intervenidos;intervenir
considerados;considerar
producidos;producir
