TEXTO;CORRECCION
aterotrombotica;aterotrombótica
auriculas;aurículas
autolisis;autólisis
autonomica;autonómica
bicuspide;bicúspide
cancer;cáncer
capsula;cápsula
clinicamente;clínicamente
clinicos;clínicos
combino;combinó
concentrica;concéntrica
coronariopatia;coronariopatía
cortex;córtex
cortico;córtico
deteccion;detección
ecografia;ecografía
embolizacion;embolización
enzimaticos;enzimáticos
femur;fémur
fenomeno;fenómeno
fisiologia;fisiología
fundamento;fundamentó
gastrico;gástrico
glomerulopatia;glomerulopatía
glucemico;glucémico
hematies;hematíes
hemodilucion;hemodilución
hidrica;hídrica
hipotension;hipotensión
hipoxemica;hipoxémica
inmovilizacion;inmovilización
intoxicacion;intoxicación
isquemicos;isquémicos
limitacion;limitación
mesenterica;mesentérica
metabolico;metabólico
metastasis;metástasis
miectomia;miectomía
neoplasica;neoplásica
neumonitis;neumonítis
neurogena;neurógena
oncologica;oncológica
orofaringea;orofaríngea
paroxisticas;paroxísticas
pelvica;pélvica
perforacion;perforación
periprotesica;periprotésica
plasmaticos;plasmáticos
predialisis;prediálisis
protesica;protésica
raiz;raíz
reaccion;reacción
reagudizacion;reagudización
region;región
repercusion;repercusión
reseccion;resección
retencion;retención
reumatica;reumática
rivaroxaban;rivaroxabán
safenectomia;safenectomía
sifilis;sífilis
sindorme;síndorme
tetralogia;tetralogía
torpida;tórpida
transformacion;transformación
trasplantectomia;trasplantectomía
tromboembolica;tromboembólica
valvulas;válvulas
version;versión
