CODIGO;DESCRIPCION;CODIGO_AGRUP;DESCRIPCION_AGRUP
I08.8;Otras enfermedades reumaticas valvulares multiples;I05-I09;Enfermedades reumáticas crónicas cardiacas
I08.9;Enfermedad reumatica valvular multiple, no especificada;I05-I09;Enfermedades reumáticas crónicas cardiacas
I09.0;Miocarditis reumatica;I05-I09;Enfermedades reumáticas crónicas cardiacas
I09.1;Enfermedades reumaticas del endocardio, valvula no especificada;I05-I09;Enfermedades reumáticas crónicas cardiacas
I09.2;Pericarditis cronica reumatica;I05-I09;Enfermedades reumáticas crónicas cardiacas
I09.81;Insuficiencia cardiaca reumatica;I05-I09;Enfermedades reumáticas crónicas cardiacas
I09.89;Otras enfermedades reumaticas cardiacas especificadas;I05-I09;Enfermedades reumáticas crónicas cardiacas
I09.9;Enfermedad reumatica del corazon, no especificada;I05-I09;Enfermedades reumáticas crónicas cardiacas
I10;Hipertension esencial (primaria);I10-I16;Enfermedades hipertensivas
I11.0;Enfermedad cardiaca hipertensiva con insuficiencia cardiaca;I10-I16;Enfermedades hipertensivas
I11.9;Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca;I10-I16;Enfermedades hipertensivas
I12.0;Enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 5 o con enfermedad renal en estadio terminal;I10-I16;Enfermedades hipertensivas
I12.9;Enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada;I10-I16;Enfermedades hipertensivas
I13.0;Enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y enfermedad renal cronica estadios 1 a 4 o enfermedad renal cronica no especificada.;I10-I16;Enfermedades hipertensivas
I13.10;Enfermedad cardiaca y renal cronica hipertensiva sin insuficiencia cardiaca, con enfermedad renal cronica en estadio 1 a 4 o enfermedad renal cronica no especificada.;I10-I16;Enfermedades hipertensivas
I13.11;Enfermedad cardiaca y renal cronica hipertensiva sin insuficiencia cardiaca con enfermedad renal cronica en estadio 5 o con enfermedad renal en estadio terminal;I10-I16;Enfermedades hipertensivas
I13.2;Enfermedad cardiaca y renal cronica hipertensiva con insuficiencia cardiaca y con enfermedad renal cronica en estadio 5 o con enfermedad renal en estadio terminal;I10-I16;Enfermedades hipertensivas
I15.0;Hipertension renovascular;I10-I16;Enfermedades hipertensivas
I15.1;Hipertension secundaria a otros trastornos renales;I10-I16;Enfermedades hipertensivas
I15.2;Hipertension secundaria a trastornos endocrinos;I10-I16;Enfermedades hipertensivas
I15.8;Otra hipertension secundaria;I10-I16;Enfermedades hipertensivas
I15.9;Hipertension secundaria, no especificada;I10-I16;Enfermedades hipertensivas
I20.0;Angina inestable;I20-I25;Enfermedades isquémicas cardiacas
I20.1;Angina de pecho con espasmo documentado;I20-I25;Enfermedades isquémicas cardiacas
I20.8;Otras formas de angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I20.9;Angina de pecho, no especificada;I20-I25;Enfermedades isquémicas cardiacas
I21.01;Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de tronco coronario;I20-I25;Enfermedades isquémicas cardiacas
I21.02;Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de arteria coronaria descendente anterior;I20-I25;Enfermedades isquémicas cardiacas
I21.09;Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de otra arteria coronaria de la cara anterior;I20-I25;Enfermedades isquémicas cardiacas
I21.11;Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de arteria coronaria derecha;I20-I25;Enfermedades isquémicas cardiacas
I21.19;Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de otra arteria coronaria de cara inferior;I20-I25;Enfermedades isquémicas cardiacas
I21.21;Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) con implicacion de la arteria coronaria circunfleja;I20-I25;Enfermedades isquémicas cardiacas
I21.29;Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) de otra localizacion;I20-I25;Enfermedades isquémicas cardiacas
I21.3;Infarto agudo de miocardio con elevacion de ST (IAMCEST) (IMEST) (STEMI) de localizacion no especificada;I20-I25;Enfermedades isquémicas cardiacas
I21.4;Infarto agudo de miocardio sin elevacion de ST (IAMSEST) (IMNEST) (NSTEMI);I20-I25;Enfermedades isquémicas cardiacas
I22.0;Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) (IMEST) (STEMI) de pared anterior;I20-I25;Enfermedades isquémicas cardiacas
I22.1;Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) (IMEST) (STEMI) de cara inferior;I20-I25;Enfermedades isquémicas cardiacas
I22.2;Infarto agudo de miocardio subsiguiente sin elevacion de ST (IMSEST) (IMNEST) (NSTEMI);I20-I25;Enfermedades isquémicas cardiacas
I22.8;Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) (IMEST) (STEMI) de otras localizaciones;I20-I25;Enfermedades isquémicas cardiacas
I22.9;Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) (IMEST) (STEMI) de localizacion no especificada;I20-I25;Enfermedades isquémicas cardiacas
I23.0;Hemopericardio como complicacion actual tras infarto agudo de miocardio;I20-I25;Enfermedades isquémicas cardiacas
I23.1;Defecto de tabique auricular como complicacion actual tras infarto agudo de miocardio;I20-I25;Enfermedades isquémicas cardiacas
I23.2;Defecto de tabique ventricular como complicacion actual tras infarto agudo de miocardio;I20-I25;Enfermedades isquémicas cardiacas
I23.3;Rotura de pared cardiaca sin hemopericardio como complicacion actual tras infarto agudo de miocardio;I20-I25;Enfermedades isquémicas cardiacas
I23.4;Rotura de cuerdas tendinosas como complicacion actual tras infarto agudo de miocardio;I20-I25;Enfermedades isquémicas cardiacas
I23.5;Rotura de musculo papilar como complicacion actual tras infarto agudo de miocardio;I20-I25;Enfermedades isquémicas cardiacas
I23.6;Trombosis de auricula, orejuela y ventriculo como complicacion actual tras infarto agudo de miocardio;I20-I25;Enfermedades isquémicas cardiacas
I23.7;Angina posinfarto;I20-I25;Enfermedades isquémicas cardiacas
I23.8;Otras complicaciones actuales tras infarto agudo de miocardio;I20-I25;Enfermedades isquémicas cardiacas
I24.0;Trombosis coronaria aguda que no produce infarto de miocardio;I20-I25;Enfermedades isquémicas cardiacas
I24.1;Sindrome de Dressler;I20-I25;Enfermedades isquémicas cardiacas
I24.8;Otras formas de enfermedad isquemica aguda cardiaca;I20-I25;Enfermedades isquémicas cardiacas
I24.9;Enfermedad isquemica aguda cardiaca no especificada;I20-I25;Enfermedades isquémicas cardiacas
I25.10;Enfermedad cardiaca aterosclerotica de arteria coronaria nativa sin angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.110;Enfermedad cardiaca aterosclerotica de arteria coronaria nativa con angina de pecho inestable;I20-I25;Enfermedades isquémicas cardiacas
I25.111;Enfermedad cardiaca aterosclerotica de arteria coronaria nativa con angina de pecho con espasmo documentado;I20-I25;Enfermedades isquémicas cardiacas
I25.118;Enfermedad cardiaca aterosclerotica de arteria coronaria nativa con otras formas de angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.119;Enfermedad cardiaca aterosclerotica de arteria coronaria nativa con angina de pecho no especificada;I20-I25;Enfermedades isquémicas cardiacas
I25.2;Infarto de miocardio antiguo;I20-I25;Enfermedades isquémicas cardiacas
I25.3;Aneurisma de corazon;I20-I25;Enfermedades isquémicas cardiacas
I25.41;Aneurisma de arteria coronaria;I20-I25;Enfermedades isquémicas cardiacas
I25.42;Diseccion de arteria coronaria;I20-I25;Enfermedades isquémicas cardiacas
I25.5;Miocardiopatia isquemica;I20-I25;Enfermedades isquémicas cardiacas
I25.6;Isquemia silente miocardica;I20-I25;Enfermedades isquémicas cardiacas
I25.700;Aterosclerosis de injerto(s) de derivacion de arteria coronaria, no especificado, con angina de pecho inestable;I20-I25;Enfermedades isquémicas cardiacas
I25.701;Aterosclerosis de injerto(s) de derivacion de arteria coronaria, no especificado, con angina de pecho con espasmo documentado;I20-I25;Enfermedades isquémicas cardiacas
I25.708;Aterosclerosis de injerto(s) de derivacion de arteria coronaria, no especificado, con otras formas de angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.709;Aterosclerosis de injerto(s) de derivacion de arteria coronaria, no especificado, con angina de pecho no especificada;I20-I25;Enfermedades isquémicas cardiacas
I25.710;Aterosclerosis de injerto(s) venoso autologo de derivacion de arteria coronaria con angina de pecho inestable;I20-I25;Enfermedades isquémicas cardiacas
I25.711;Aterosclerosis de injerto(s) venoso autologo de derivacion de arteria coronaria con angina de pecho con espasmo documentado;I20-I25;Enfermedades isquémicas cardiacas
I25.718;Aterosclerosis de injerto(s) venoso autologo de derivacion de arteria coronaria con otras formas de angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.719;Aterosclerosis de injerto(s) venoso autologo de derivacion de arteria coronaria, con angina de pecho no especificada;I20-I25;Enfermedades isquémicas cardiacas
I25.720;Ateroesclerosis de injerto(s) arterial autologo de derivacion de arteria coronaria, con angina de pecho inestable;I20-I25;Enfermedades isquémicas cardiacas
I25.721;Ateroesclerosis de injerto(s) arterial autologo de derivacion de arteria coronaria, con angina de pecho con espasmo documentado;I20-I25;Enfermedades isquémicas cardiacas
I25.728;Ateroesclerosis de injerto(s) arterial autologo de derivacion de arteria coronaria con otras formas de angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.729;Ateroesclerosis de injerto(s) arterial autologo de derivacion de arteria coronaria con angina de pecho no especificada;I20-I25;Enfermedades isquémicas cardiacas
I25.730;Aterosclerosis de injerto(s) biologico no autologo de derivacion de arteria coronaria con angina de pecho inestable;I20-I25;Enfermedades isquémicas cardiacas
I25.731;Aterosclerosis de injerto(s) biologico no autologo de derivacion de arteria coronaria con angina de pecho con espasmo documentado;I20-I25;Enfermedades isquémicas cardiacas
I25.738;Aterosclerosis de injerto(s) biologico no autologo de derivacion de arteria coronaria con otras formas de angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.739;Aterosclerosis de injerto(s) biologico no autologo de derivacion de arteria coronaria con angina de pecho no especificada;I20-I25;Enfermedades isquémicas cardiacas
I25.750;Aterosclerosis de arteria coronaria nativa de corazon trasplantado con angina inestable;I20-I25;Enfermedades isquémicas cardiacas
I25.751;Aterosclerosis de arteria coronaria nativa de corazon trasplantado con angina de pecho con espasmo documentado;I20-I25;Enfermedades isquémicas cardiacas
I25.758;Aterosclerosis de arteria coronaria nativa de corazon trasplantado con otras formas de angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.759;Aterosclerosis de arteria coronaria nativa de corazon trasplantado con angina de pecho no especificada;I20-I25;Enfermedades isquémicas cardiacas
I25.760;Aterosclerosis de injerto(s) de derivacion de arteria coronaria de corazon trasplantado con angina inestable;I20-I25;Enfermedades isquémicas cardiacas
I25.761;Aterosclerosis de injerto(s) de derivacion de arteria coronaria de corazon trasplantado con angina de pecho con espasmo documentado;I20-I25;Enfermedades isquémicas cardiacas
I25.768;Aterosclerosis de injerto(s) de derivacion de arteria coronaria de corazon trasplantado con otras formas de angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.769;Aterosclerosis de injerto(s) de derivacion de arteria coronaria de corazon trasplantado con angina de pecho no especificada;I20-I25;Enfermedades isquémicas cardiacas
I25.790;Aterosclerosis de otro tipo de injerto(s) de derivacion de arteria coronaria con angina de pecho inestable;I20-I25;Enfermedades isquémicas cardiacas
I25.791;Aterosclerosis de otro tipo de injerto(s) de derivacion de arteria coronaria con angina de pecho con espasmo documentado;I20-I25;Enfermedades isquémicas cardiacas
I25.798;Aterosclerosis de otro tipo de injerto(s) de derivacion de arteria coronaria con otras formas de angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.799;Aterosclerosis de otro tipo de injerto(s) de derivacion de arteria coronaria con angina de pecho no especificada;I20-I25;Enfermedades isquémicas cardiacas
I25.810;Aterosclerosis de injerto(s) de derivacion de arteria coronaria sin angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.811;Aterosclerosis de arteria coronaria nativa de corazon trasplantado sin angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.812;Aterosclerosis de injerto de derivacion de arteria coronaria de corazon trasplantado sin angina de pecho;I20-I25;Enfermedades isquémicas cardiacas
I25.82;Oclusion total cronica de arteria coronaria;I20-I25;Enfermedades isquémicas cardiacas
I25.83;Aterosclerosis coronaria debida a placa rica en lipidos;I20-I25;Enfermedades isquémicas cardiacas
I25.84;Aterosclerosis coronaria debida a lesion coronaria calcificada;I20-I25;Enfermedades isquémicas cardiacas
I25.89;Otras formas de enfermedad isquemica cronica cardiaca;I20-I25;Enfermedades isquémicas cardiacas
I25.9;Enfermedad isquemica cronica cardiaca, no especificada;I20-I25;Enfermedades isquémicas cardiacas
I26.01;Embolia pulmonar septica con cor pulmonale agudo;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I26.02;Embolo en silla de montar de arteria pulmonar con cor pulmonale agudo;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I26.09;Otra embolia pulmonar con cor pulmonale agudo;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I26.90;Embolia pulmonar septica sin cor pulmonale agudo;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I26.92;Embolo en silla de montar de arteria pulmonar sin cor pulmonale agudo;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I26.99;Otra embolia pulmonar sin cor pulmonale agudo;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I27.0;Hipertension pulmonar primaria;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I27.1;Cardiopatia cifoscoliotica;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I27.2;Otra hipertension pulmonar secundaria;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I27.81;Cor pulmonale (cronico);I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I27.82;Embolia pulmonar cronica;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I27.89;Otras enfermedades pulmonares cardiacas especificadas;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I27.9;Enfermedad pulmonar cardiaca, no especificada;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I28.0;Fistula arteriovenosa de los vasos pulmonares;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I28.1;Aneurisma de arteria pulmonar;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I28.8;Otras enfermedades de vasos pulmonares;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I28.9;Enfermedad de los vasos pulmonares, no especificada;I26-I28;Enfermedad pulmonar cardiaca y enfermedades de la circulación pulmonar
I30.0;Pericarditis aguda idiopatica inespecifica;I30-I52;Otras formas de enfermedad cardiaca
I30.1;Pericarditis infecciosa;I30-I52;Otras formas de enfermedad cardiaca
I30.8;Otras formas de pericarditis aguda;I30-I52;Otras formas de enfermedad cardiaca
I30.9;Pericarditis aguda, no especificada;I30-I52;Otras formas de enfermedad cardiaca
I31.0;Pericarditis cronica adhesiva;I30-I52;Otras formas de enfermedad cardiaca
I31.1;Pericarditis constrictiva cronica;I30-I52;Otras formas de enfermedad cardiaca
I31.2;Hemopericardio, no clasificado bajo otro concepto;I30-I52;Otras formas de enfermedad cardiaca
I31.3;Derrame pericardico (no inflamatorio);I30-I52;Otras formas de enfermedad cardiaca
I31.4;Taponamiento cardiaco;I30-I52;Otras formas de enfermedad cardiaca
I31.8;Otras enfermedades especificadas del pericardio;I30-I52;Otras formas de enfermedad cardiaca
I31.9;Enfermedades del pericardio, no especificadas;I30-I52;Otras formas de enfermedad cardiaca
I32;Pericarditis en enfermedades clasificadas bajo otro concepto;I30-I52;Otras formas de enfermedad cardiaca
I33.0;Endocarditis infecciosa aguda y subaguda;I30-I52;Otras formas de enfermedad cardiaca
I33.9;Endocarditis aguda y subaguda, no especificada;I30-I52;Otras formas de enfermedad cardiaca
I34.0;Insuficiencia (de la valvula) mitral no reumatica;I30-I52;Otras formas de enfermedad cardiaca
I34.1;Prolapso (de la valvula) mitral no reumatico;I30-I52;Otras formas de enfermedad cardiaca
I34.2;Estenosis (de la valvula) mitral no reumatica;I30-I52;Otras formas de enfermedad cardiaca
I34.8;Otros trastornos de valvula mitral no reumaticos;I30-I52;Otras formas de enfermedad cardiaca
I34.9;Trastorno de valvula mitral no reumatico, no especificado;I30-I52;Otras formas de enfermedad cardiaca
I35.0;Estenosis (de la valvula) aortica no reumatica;I30-I52;Otras formas de enfermedad cardiaca
I35.1;Insuficiencia (de la valvula) aortica no reumatica;I30-I52;Otras formas de enfermedad cardiaca
I35.2;Estenosis con insuficiencia (de la valvula) aortica no reumatica;I30-I52;Otras formas de enfermedad cardiaca
I35.8;Otros trastornos de valvula aortica no reumaticos;I30-I52;Otras formas de enfermedad cardiaca
I35.9;Trastorno de valvula aortica no reumatica, no especificado;I30-I52;Otras formas de enfermedad cardiaca
I36.0;Estenosis (de la valvula) tricuspidea no reumatica;I30-I52;Otras formas de enfermedad cardiaca
I36.1;Insuficiencia (de la valvula) tricuspidea no reumatica;I30-I52;Otras formas de enfermedad cardiaca
I36.2;Estenosis con insuficiencia (de la vavula) tricuspidea no reumatica;I30-I52;Otras formas de enfermedad cardiaca
I36.8;Otros trastornos de valvula tricuspide no reumaticos;I30-I52;Otras formas de enfermedad cardiaca
I36.9;Trastorno de valvula tricuspide no reumatico, no especificado;I30-I52;Otras formas de enfermedad cardiaca
I37.0;Estenosis de valvula pulmonar no reumatica;I30-I52;Otras formas de enfermedad cardiaca
I37.1;Insuficiencia de valvula pulmonar no reumatica;I30-I52;Otras formas de enfermedad cardiaca
I37.2;Estenosis con insuficiencia de valvula pulmonar no reumatica;I30-I52;Otras formas de enfermedad cardiaca
I37.8;Otros trastornos de valvula pulmonar no reumaticos;I30-I52;Otras formas de enfermedad cardiaca
I37.9;Trastorno de valvula pulmonar no reumatico, no especificado;I30-I52;Otras formas de enfermedad cardiaca
I38;Endocarditis, valvula no especificada;I30-I52;Otras formas de enfermedad cardiaca
I39;Endocarditis y trastornos de las valvulas cardiacas en enfermedades clasificadas bajo otro concepto;I30-I52;Otras formas de enfermedad cardiaca
I40.0;Miocarditis infecciosa;I30-I52;Otras formas de enfermedad cardiaca
I40.1;Miocarditis aislada;I30-I52;Otras formas de enfermedad cardiaca
I40.8;Otras miocarditis agudas;I30-I52;Otras formas de enfermedad cardiaca
I40.9;Miocarditis aguda, no especificada;I30-I52;Otras formas de enfermedad cardiaca
I41;Miocarditis en enfermedades clasificadas bajo otro concepto;I30-I52;Otras formas de enfermedad cardiaca
I42.0;Miocardiopatia dilatada;I30-I52;Otras formas de enfermedad cardiaca
I42.1;Miocardiopatia hipertrofica obstructiva;I30-I52;Otras formas de enfermedad cardiaca
I42.2;Otras Miocardiopatias hipertroficas;I30-I52;Otras formas de enfermedad cardiaca
I42.3;Enfermedad endomiocardica (eosinofilica);I30-I52;Otras formas de enfermedad cardiaca
I42.4;Fibroelastosis endocardica;I30-I52;Otras formas de enfermedad cardiaca
I42.5;Otras miocardiopatias restrictivas;I30-I52;Otras formas de enfermedad cardiaca
I42.6;Miocardiopatia alcoholica;I30-I52;Otras formas de enfermedad cardiaca
I42.7;Miocardiopatia debida a drogas y otros agentes externos;I30-I52;Otras formas de enfermedad cardiaca
I42.8;Otras miocardiopatias;I30-I52;Otras formas de enfermedad cardiaca
I42.9;Miocardiopatia, no especificada;I30-I52;Otras formas de enfermedad cardiaca
I43;Miocardiopatia en enfermedades clasificadas bajo otro concepto;I30-I52;Otras formas de enfermedad cardiaca
I44.0;Bloqueo auriculoventricular, primer grado;I30-I52;Otras formas de enfermedad cardiaca
I44.1;Bloqueo auriculoventricular, segundo grado;I30-I52;Otras formas de enfermedad cardiaca
I44.2;Bloqueo auriculoventricular, completo;I30-I52;Otras formas de enfermedad cardiaca
I44.30;Bloqueo auriculoventricular no especificado;I30-I52;Otras formas de enfermedad cardiaca
I44.39;Otros tipos de bloqueo auriculoventricular;I30-I52;Otras formas de enfermedad cardiaca
I44.4;Bloqueo fascicular anterior izquierdo;I30-I52;Otras formas de enfermedad cardiaca
I44.5;Bloqueo fascicular posterior izquierdo;I30-I52;Otras formas de enfermedad cardiaca
I44.60;Bloqueo fascicular no especificado;I30-I52;Otras formas de enfermedad cardiaca
I44.69;Otros tipos de bloqueo fascicular;I30-I52;Otras formas de enfermedad cardiaca
I44.7;Bloqueo de rama izquierda, no especificado;I30-I52;Otras formas de enfermedad cardiaca
I45.0;Bloqueo fascicular derecho;I30-I52;Otras formas de enfermedad cardiaca
I45.10;Bloqueo de rama derecha no especificado;I30-I52;Otras formas de enfermedad cardiaca
I45.19;Otro bloqueo de rama derecha;I30-I52;Otras formas de enfermedad cardiaca
I45.2;Bloqueo bifascicular;I30-I52;Otras formas de enfermedad cardiaca
I45.3;Bloqueo trifascicular;I30-I52;Otras formas de enfermedad cardiaca
I45.4;Bloqueo intraventricular inespecifico;I30-I52;Otras formas de enfermedad cardiaca
I45.5;Otro bloqueo cardiaco especificado;I30-I52;Otras formas de enfermedad cardiaca
I45.6;Sindrome de preexcitacion;I30-I52;Otras formas de enfermedad cardiaca
I45.81;Sindrome de QT largo;I30-I52;Otras formas de enfermedad cardiaca
I45.89;Otros trastornos de conduccion especificados;I30-I52;Otras formas de enfermedad cardiaca
I45.9;Trastorno de conduccion, no especificado;I30-I52;Otras formas de enfermedad cardiaca
I46.2;Paro cardiaco debido a enfermedad cardiaca subyacente;I30-I52;Otras formas de enfermedad cardiaca
I46.8;Parada cardiaca debida a otra afeccion subyacente;I30-I52;Otras formas de enfermedad cardiaca
I46.9;Paro cardiaco, causa no especificada;I30-I52;Otras formas de enfermedad cardiaca
I47.0;Arritmia ventricular de reentrada;I30-I52;Otras formas de enfermedad cardiaca
I47.1;Taquicardia supraventricular;I30-I52;Otras formas de enfermedad cardiaca
I47.2;Taquicardia ventricular;I30-I52;Otras formas de enfermedad cardiaca
I47.9;Taquicardia paroxistica, no especificada;I30-I52;Otras formas de enfermedad cardiaca
I48.0;Fibrilacion paroxistica auricular;I30-I52;Otras formas de enfermedad cardiaca
I48.1;Fibrilacion persistente auricular;I30-I52;Otras formas de enfermedad cardiaca
I48.2;Fibrilacion cronica auricular;I30-I52;Otras formas de enfermedad cardiaca
I48.3;Flutter auricular tipico;I30-I52;Otras formas de enfermedad cardiaca
I48.4;Flutter auricular atipico;I30-I52;Otras formas de enfermedad cardiaca
I48.91;Fibrilacion auricular no especificada;I30-I52;Otras formas de enfermedad cardiaca
I48.92;Flutter auricular no especificado;I30-I52;Otras formas de enfermedad cardiaca
I49.01;Fibrilacion ventricular;I30-I52;Otras formas de enfermedad cardiaca
I49.02;Flutter ventricular;I30-I52;Otras formas de enfermedad cardiaca
I49.1;Extrasistoles auricurales;I30-I52;Otras formas de enfermedad cardiaca
I49.2;Extrasistoles nodales;I30-I52;Otras formas de enfermedad cardiaca
I49.3;Extrasistoles ventriculares;I30-I52;Otras formas de enfermedad cardiaca
I49.40;Despolarizacion prematura no especificada;I30-I52;Otras formas de enfermedad cardiaca
I49.49;Otros tipos de despolarizacion prematura;I30-I52;Otras formas de enfermedad cardiaca
I49.5;Sindrome del seno enfermo;I30-I52;Otras formas de enfermedad cardiaca
I49.8;Otras arritmias cardiacas especificadas;I30-I52;Otras formas de enfermedad cardiaca
I49.9;Arritmia cardiaca, no especificada;I30-I52;Otras formas de enfermedad cardiaca
I50.1;Insuficiencia ventricular izquierda;I30-I52;Otras formas de enfermedad cardiaca
I50.20;Insuficiencia cardiaca sistolica (congestiva), no especificada;I30-I52;Otras formas de enfermedad cardiaca
I50.21;Insuficiencia cardiaca sistolica (congestiva), aguda;I30-I52;Otras formas de enfermedad cardiaca
I50.22;Insuficiencia cardiaca sistolica (congestiva), cronica;I30-I52;Otras formas de enfermedad cardiaca
I50.23;Insuficiencia cardiaca sistolica (congestiva), aguda sobre cronica;I30-I52;Otras formas de enfermedad cardiaca
I50.30;Insuficiencia cardiaca diastolica (congestiva), no especificada;I30-I52;Otras formas de enfermedad cardiaca
I50.31;Insuficiencia cardiaca diastolica (congestiva), aguda;I30-I52;Otras formas de enfermedad cardiaca
I50.32;Insuficiencia cardiaca diastolica (congestiva), cronica;I30-I52;Otras formas de enfermedad cardiaca
I50.33;Insuficiencia cardiaca diastolica (congestiva), aguda sobre cronica;I30-I52;Otras formas de enfermedad cardiaca
I50.40;Insuficiencia cardiaca combinada sistolica y diastolica (congestiva), no especificada;I30-I52;Otras formas de enfermedad cardiaca
